,strain,coverage,25x,50x,75x,100x,125x
0,CCC020,133.84969474749332,0.18677666801678075,0.3735533360335615,0.5603300040503422,0.747106672067123,0.9338833400839037
1,EEE004,189.4311548332816,0.1319740674230831,0.2639481348461662,0.3959222022692493,0.5278962696923324,0.6598703371154155
2,EEE023,127.52138256508324,0.19604555327998205,0.3920911065599641,0.5881366598399461,0.7841822131199282,0.9802277663999102
3,EEE029,151.36275002616665,0.16516613232567562,0.33033226465135124,0.4954983969770268,0.6606645293027025,0.825830661628378
4,FA1090,239.6032059516213,0.10433917150944881,0.20867834301889762,0.3130175145283464,0.41735668603779524,0.521695857547244
5,FFF007,147.86318550160186,0.16907521581651008,0.33815043163302017,0.5072256474495302,0.6763008632660403,0.8453760790825504
6,GCGS0313,183.5878627445684,0.1361745794425598,0.2723491588851196,0.40852373832767946,0.5446983177702392,0.6808728972127991
7,GCGS0373,170.68047551648175,0.14647252372803402,0.29294504745606803,0.439417571184102,0.5858900949121361,0.73236261864017
8,GCGS0431,151.09514251660443,0.16545866123560296,0.3309173224712059,0.49637598370680885,0.6618346449424118,0.8272933061780148
9,Ng_188,175.21431386004147,0.1426824067579868,0.2853648135159736,0.42804722027396036,0.5707296270319472,0.713412033789934
10,UMASS-DGI_65,146.04892125942845,0.1711755197122764,0.3423510394245528,0.5135265591368292,0.6847020788491056,0.855877598561382
