,wgs_id,accession,names,reference
0,AUNG1291,SRR8567236,AUNG1291,Williamson2019
1,CCC015,SRR16683503,CCC015,BristowMortimer_2023
2,EEE021,SRR16683594,EEE021,BristowMortimer_2023
3,EEE026,SRR16683589,EEE026,BristowMortimer_2023
4,FFF044,SRR16683463,FFF044,BristowMortimer_2023
5,JJJ010,SRR16683805,JJJ010,BristowMortimer_2023
6,SRR5827236,SRR5827236,"NZ2015-73,AUSMDU00006841",Lee2018
7,SRR5827322,SRR5827322,"NZ2015-300,AUSMDU00007059",Lee2018
8,CCC010,SRR16683508,CCC010,BristowMortimer_2023
9,CCC012,SRR16683506,CCC012,BristowMortimer_2023
10,HHH001,SRR16683863,HHH001,BristowMortimer_2023
11,CCC014,SRR16683504,CCC014,BristowMortimer_2023
12,EEE015,SRR16683601,EEE015,BristowMortimer_2023
13,DDD029,SRR16683673,DDD029,BristowMortimer_2023
14,CCC016,SRR16683501,CCC016,BristowMortimer_2023
15,FFF026,SRR16683480,FFF026,BristowMortimer_2023
16,FA1090,NC_002946,"FA1090,NC_002946",SanchezBuso2018
17,UMASS-DGI_46,,,
18,FFF004,SRR16683530,FFF004,BristowMortimer_2023
19,EEE034,SRR16683551,EEE034,BristowMortimer_2023
20,AUNG1065,SRR8566824,AUNG1065,Williamson2019
21,DDD001,SRR16683703,DDD001,BristowMortimer_2023
22,CCC017,SRR16683500,CCC017,BristowMortimer_2023
23,FFF005,SRR16683529,FFF005,BristowMortimer_2023
24,HHH009,SRR16683855,HHH009,BristowMortimer_2023
25,EEE019,SRR16683597,EEE019,BristowMortimer_2023
26,EEE030,SRR16683585,EEE030,BristowMortimer_2023
27,FA19,NZ_CP012026,"FA19,NZ_CP012026",SanchezBuso2018
28,CCC048,SRR16683707,CCC048,BristowMortimer_2023
29,CCC020,SRR16683497,CCC020,BristowMortimer_2023
30,CCC028,SRR16683724,CCC028,BristowMortimer_2023
31,EEE014,SRR16683602,EEE014,BristowMortimer_2023
32,EEE036,SRR16683549,EEE036,BristowMortimer_2023
33,FFF047,SRR16683459,FFF047,BristowMortimer_2023
34,SRR5827238,SRR5827238,"NZ2015-71,AUSMDU00006839",Lee2018
35,EEE037,SRR16683548,EEE037,BristowMortimer_2023
36,EEE023,SRR16683592,EEE023,BristowMortimer_2023
37,AUNG1251,SRR8566790,AUNG1251,Williamson2019
38,GCGS0373,ERR1067806,"GCGS0373,17176_1#7,IND-201308-13",Grad2014_2016
39,CCC013,SRR16683505,CCC013,BristowMortimer_2023
40,EEE035,SRR16683550,EEE035,BristowMortimer_2023
41,DDD034,SRR16683667,DDD034,BristowMortimer_2023
42,EEE016,SRR16683600,EEE016,BristowMortimer_2023
43,CCC033,SRR16683720,CCC033,BristowMortimer_2023
44,HHH021,SRR16683843,HHH021,BristowMortimer_2023
45,SRR5827361,SRR5827361,"NZ2015-139,AUSMDU00006903",Lee2018
46,DDD008,SRR16683696,DDD008,BristowMortimer_2023
47,FFF034,SRR16683473,FFF034,BristowMortimer_2023
48,EEE001,SRR16683649,EEE001,BristowMortimer_2023
49,FFF025,SRR16683481,FFF025,BristowMortimer_2023
50,AUNG1815,SRR8560364,AUNG1815,Williamson2019
51,JJJ024,SRR16683789,JJJ024,BristowMortimer_2023
52,EEE025,SRR16683590,EEE025,BristowMortimer_2023
53,CCC019,SRR16683498,CCC019,BristowMortimer_2023
54,FFF046,SRR16683460,FFF046,BristowMortimer_2023
55,JJJ023,SRR16683790,JJJ023,BristowMortimer_2023
56,FFF009,SRR16683525,FFF009,BristowMortimer_2023
57,EEE031,SRR16683582,EEE031,BristowMortimer_2023
58,FFF048,SRR16683458,FFF048,BristowMortimer_2023
59,AUNG549,SRR8559779,AUNG549,Williamson2019
60,AUNG169,SRR8559314,AUNG169,Williamson2019
61,EEE022,SRR16683593,EEE022,BristowMortimer_2023
62,SRR5827301,SRR5827301,"NZ2015-262,AUSMDU00007021",Lee2018
63,CCC023,SRR16683438,CCC023,BristowMortimer_2023
64,CCC030,SRR16683722,CCC030,BristowMortimer_2023
65,FFF016,not_submitted,FFF016,unpublished
66,CCC050,SRR16683704,CCC050,BristowMortimer_2023
67,DDD026,SRR16683676,DDD026,BristowMortimer_2023
68,EEE043,SRR16683541,EEE043,BristowMortimer_2023
69,MS11,NC_022240,"MS11,NC_022240",SanchezBuso2018
70,EEE017,SRR16683599,EEE017,BristowMortimer_2023
71,SRR5827295,SRR5827295,"NZ2015-268,AUSMDU00007027",Lee2018
72,SRR5827182,SRR5827182,"NZ2015-82,AUSMDU00006849",Lee2018
73,DDD005,SRR16683699,DDD005,BristowMortimer_2023
74,CCC040,SRR16683713,CCC040,BristowMortimer_2023
75,EEE029,SRR16683586,EEE029,BristowMortimer_2023
76,EEE047,SRR16683537,EEE047,BristowMortimer_2023
77,DDD033,SRR16683668,DDD033,BristowMortimer_2023
78,EEE028,SRR16683587,EEE028,BristowMortimer_2023
79,Ng_144,SRR16683631,Ng_144,BristowMortimer_2023
80,CCC003,SRR16683514,CCC003,BristowMortimer_2023
81,Ng_133,SRR16683636,Ng_133,BristowMortimer_2023
82,FFF027,SRR16683479,FFF027,BristowMortimer_2023
83,EEE027,SRR16683588,EEE027,BristowMortimer_2023
