DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	for_nanopore_sequencing
COLOR	#e95e0d

LEGEND_TITLE	for_nanopore_sequencing
LEGEND_SHAPES	1	1
LEGEND_COLORS	#fdb97d	#e95e0d
LEGEND_LABELS	N	Y

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
101M	#fdb97d	N
10231	#fdb97d	N
10239	#fdb97d	N
10268	#fdb97d	N
10272	#fdb97d	N
10296	#fdb97d	N
102M	#fdb97d	N
10328	#fdb97d	N
103MA	#fdb97d	N
103MB	#fdb97d	N
10500	#fdb97d	N
10524	#fdb97d	N
10529	#fdb97d	N
10531	#fdb97d	N
10536	#fdb97d	N
10537	#fdb97d	N
10538	#fdb97d	N
10562	#fdb97d	N
10574	#fdb97d	N
10588	#fdb97d	N
10610	#fdb97d	N
10638	#fdb97d	N
10702	#fdb97d	N
10708	#fdb97d	N
10723	#fdb97d	N
10727	#fdb97d	N
10736	#fdb97d	N
10743	#fdb97d	N
10744	#fdb97d	N
10771	#fdb97d	N
10791	#fdb97d	N
10792	#fdb97d	N
10794	#fdb97d	N
10795	#fdb97d	N
1081168	#fdb97d	N
10814	#fdb97d	N
10819	#fdb97d	N
1123850	#fdb97d	N
112M	#fdb97d	N
1130991	#fdb97d	N
1145734	#fdb97d	N
118M	#fdb97d	N
11M	#fdb97d	N
13M	#fdb97d	N
146M	#fdb97d	N
154M	#fdb97d	N
156MA	#fdb97d	N
156MB	#fdb97d	N
157M	#fdb97d	N
15M	#fdb97d	N
163M	#fdb97d	N
17966_3_11	#fdb97d	N
17966_3_12	#fdb97d	N
17966_3_16	#fdb97d	N
17966_3_42	#fdb97d	N
20097D-01	#fdb97d	N
20181204	#fdb97d	N
21242_3_14	#fdb97d	N
21242_3_140	#fdb97d	N
21242_3_145	#fdb97d	N
21242_3_146	#fdb97d	N
21242_3_147	#fdb97d	N
21242_3_157	#fdb97d	N
21242_3_158	#fdb97d	N
21242_3_16	#e95e0d	Y
21242_3_175	#fdb97d	N
21242_3_179	#fdb97d	N
21242_3_23	#fdb97d	N
21242_3_33	#fdb97d	N
21242_3_34	#fdb97d	N
21242_3_4	#fdb97d	N
21242_3_46	#fdb97d	N
21242_3_48	#fdb97d	N
21242_3_52	#fdb97d	N
21242_3_59	#e95e0d	Y
21242_3_61	#fdb97d	N
21242_3_73	#fdb97d	N
21242_4_11	#fdb97d	N
21242_4_13	#fdb97d	N
21242_4_27	#fdb97d	N
21242_4_28	#fdb97d	N
21242_4_3	#fdb97d	N
21242_4_31	#fdb97d	N
21242_4_36	#fdb97d	N
21242_4_42	#fdb97d	N
21242_4_44	#fdb97d	N
21242_4_45	#fdb97d	N
21242_4_5	#fdb97d	N
21242_4_62	#fdb97d	N
21242_4_65	#fdb97d	N
21242_4_76	#fdb97d	N
21242_4_77	#fdb97d	N
21242_4_81	#fdb97d	N
21242_4_85	#fdb97d	N
21485_4_18	#fdb97d	N
21485_4_24	#fdb97d	N
21485_4_28	#fdb97d	N
21485_4_38	#fdb97d	N
24M	#fdb97d	N
25818_2_167	#fdb97d	N
25818_2_184	#fdb97d	N
25818_2_192	#fdb97d	N
25818_2_217	#fdb97d	N
25818_2_221	#fdb97d	N
25818_2_229	#fdb97d	N
25818_2_236	#fdb97d	N
25818_2_238	#fdb97d	N
25818_2_241	#fdb97d	N
25818_2_270	#fdb97d	N
25818_2_298	#fdb97d	N
25818_2_312	#fdb97d	N
25818_2_39	#fdb97d	N
25818_2_48	#fdb97d	N
25818_3_234	#fdb97d	N
25818_3_250	#fdb97d	N
25818_3_255	#fdb97d	N
25818_3_263	#fdb97d	N
25818_3_293	#fdb97d	N
25818_3_317	#fdb97d	N
25818_3_324	#fdb97d	N
25818_3_332	#fdb97d	N
25818_3_359	#fdb97d	N
25818_3_375	#fdb97d	N
25818_3_379	#fdb97d	N
25818_3_381	#fdb97d	N
25825_2_121	#fdb97d	N
25825_2_127	#fdb97d	N
25825_2_148	#fdb97d	N
25825_2_177	#fdb97d	N
25825_2_35	#fdb97d	N
25825_2_43	#fdb97d	N
25825_2_56	#fdb97d	N
25825_2_57	#fdb97d	N
25825_2_6	#fdb97d	N
25825_2_70	#fdb97d	N
28B	#fdb97d	N
30M	#fdb97d	N
31M	#fdb97d	N
32M	#fdb97d	N
35M	#fdb97d	N
3M	#fdb97d	N
43M	#fdb97d	N
45M	#fdb97d	N
46M	#fdb97d	N
54M	#fdb97d	N
71M	#fdb97d	N
78M	#fdb97d	N
7M	#fdb97d	N
82M	#fdb97d	N
9035	#fdb97d	N
9071	#fdb97d	N
9112	#fdb97d	N
9126	#fdb97d	N
9343	#fdb97d	N
9399	#fdb97d	N
9431	#fdb97d	N
9460	#fdb97d	N
9464	#fdb97d	N
94M	#fdb97d	N
95M	#fdb97d	N
96MA	#fdb97d	N
96MB	#fdb97d	N
97M	#fdb97d	N
99M	#fdb97d	N
AT159	#fdb97d	N
ATCC49226	#fdb97d	N
AUNG106	#fdb97d	N
AUNG1065	#e95e0d	Y
AUNG1167	#fdb97d	N
AUNG1212	#fdb97d	N
AUNG1233	#fdb97d	N
AUNG1251	#e95e0d	Y
AUNG1291	#e95e0d	Y
AUNG1359	#fdb97d	N
AUNG1364	#fdb97d	N
AUNG1470	#fdb97d	N
AUNG15	#fdb97d	N
AUNG1582	#fdb97d	N
AUNG169	#e95e0d	Y
AUNG1815	#e95e0d	Y
AUNG1826	#fdb97d	N
AUNG461	#fdb97d	N
AUNG549	#e95e0d	Y
AUNG966	#fdb97d	N
AUSMDU00010541	#fdb97d	N
BJ16148	#fdb97d	N
CCC001	#fdb97d	N
CCC002	#fdb97d	N
CCC003	#e95e0d	Y
CCC004	#fdb97d	N
CCC005	#fdb97d	N
CCC006	#fdb97d	N
CCC007	#fdb97d	N
CCC008	#fdb97d	N
CCC009	#fdb97d	N
CCC010	#e95e0d	Y
CCC011	#fdb97d	N
CCC012	#e95e0d	Y
CCC013	#e95e0d	Y
CCC014	#e95e0d	Y
CCC015	#e95e0d	Y
CCC016	#e95e0d	Y
CCC017	#e95e0d	Y
CCC018	#fdb97d	N
CCC019	#e95e0d	Y
CCC020	#e95e0d	Y
CCC021	#fdb97d	N
CCC022	#fdb97d	N
CCC023	#e95e0d	Y
CCC024	#fdb97d	N
CCC025	#fdb97d	N
CCC026	#fdb97d	N
CCC027	#fdb97d	N
CCC028	#e95e0d	Y
CCC029	#fdb97d	N
CCC030	#e95e0d	Y
CCC031	#fdb97d	N
CCC032	#fdb97d	N
CCC033	#e95e0d	Y
CCC034	#fdb97d	N
CCC035	#fdb97d	N
CCC036	#fdb97d	N
CCC037	#fdb97d	N
CCC038	#fdb97d	N
CCC039	#fdb97d	N
CCC040	#e95e0d	Y
CCC041	#fdb97d	N
CCC042	#fdb97d	N
CCC043	#fdb97d	N
CCC044	#fdb97d	N
CCC045	#fdb97d	N
CCC046	#fdb97d	N
CCC047	#fdb97d	N
CCC048	#e95e0d	Y
CCC049	#fdb97d	N
CCC050	#e95e0d	Y
CT213	#fdb97d	N
CT530	#fdb97d	N
CT532	#fdb97d	N
CT602	#fdb97d	N
DDD001	#e95e0d	Y
DDD002	#fdb97d	N
DDD003	#fdb97d	N
