,reference,Reference,num_isolates
0,Alfsnes2020,"Alfsnes et al., 2020",840
1,BristowMortimer_2023,"Bristow, Mortimer, et al., 2023",444
2,Buckley2018,"Buckley et al., 2018",43
3,Cehovin2018,"Cehovin et al., 2018",73
4,Day2022,"Day et al., 2022",1
5,DeSilva2016,"DeSilva et al., 2016",1400
6,Demczuk2015,"Demczuk et al., 2015",90
7,Demczuk2016,"Demczuk et al., 2016",187
8,Didelot2016,"Didelot et al., 2016",224
9,Eyre2017,"Eyre et al., 2017",231
10,Ezewudo2015,"Ezewudo et al., 2015",51
11,Fifer2018,"Fifer et al., 2018",46
12,Gernert2020,"Gernert et al., 2020",319
13,Gianecini2023,"Gianecini et al., 2023",11
14,Golparian2020,"Golparian et al., JAC, 2020",511
,Golparian2020,"Golparian et al., BMC Genomics, 2020",189
,Golparian2020,"Gianecini, Golparian et al., 2019",156
15,Golparian2022,"Golparian et al., 2022",61
16,Golparian2023,"Golparian et al., 2023",1
17,Grad2014_2016,"Grad et al., 2014",1093
18,Hadad2022,"Hadad et al., 2022",1109
19,Harris2018,"Harris et al., 2018",1047
20,Kong2021,"Kong et al., 2021",335
21,KorneElenbaas2021,"Korne-Elenbaas et al., 2021",311
22,Kwong2017,"Kwong et al., 2017",94
23,Lan2020,"Lan et al., 2020",228
24,Lee2018,"Lee et al., 2018",392
25,Liao2023,"Liao et al., 2023",10
26,Liu2022,"Liu et al., 2022",13
27,Mitchev2021,"Mitchev et al., 2021",61
28,Mortimer2021,"Mortimer et al., 2021",894
29,Parmar2020,"Parmar et al., 2020",56
30,Peng2019,"Peng et al., 2019",431
31,Pinto2020,"Pinto et al., 2020",421
32,Reimche2021,"Reimche et al., 2021",1014
33,Reimche2023,"Reimche et al., 2023",1298
34,Ryan2018,"Ryan et al., 2018",34
35,Salmeron2021,"Salmeron et al., 2021",15
36,SanchezBuso2018,"Sanchez-Buso et al., 2018",382
37,SanchezBuso2022,"Sanchez-Buso et al., 2022",2363
38,Sangprasert2024,"Sangprasert et al., 2024",2
39,Thomas2019,"Thomas et al., 2019",311
40,Town2020,"Town et al., 2020",1265
41,Villamin2020,"Jamoralin, Argimón, et al., 2020",13
42,Wang2023,"Wang et al., 2023",616
43,Williamson2019,"Williamson et al., 2019",2109
44,Yahara2018,"Yahara et al., 2018",252
45,Yahara2021,"Yahara et al., 2021",208
46,Zhang2023,"Zhang et al., 2023",7
47,Zondag2023,"Zondag et al., 2023",321
,,,21583
