,wgs_id,accession,names,biosample_collection_date,continent,country,region,source,reference
0,163M,SRR16683683,163M,2019,Asia,Vietnam,,representative,BristowMortimer_2023
1,21242_3#112,ERR2631833,"101279223,NY0004",2011-12-16,North America,USA,New York City,representative,Mortimer2021
2,21242_3#23,ERR2631744,"200227291,NY0808",2013-11-25,North America,USA,New York City,representative,Mortimer2021
3,21242_4#62,ERR2631973,"200206582,NY0715",2013-09-30,North America,USA,New York City,representative,Mortimer2021
4,21242_4#87,ERR2631998,"200212132,NY0753",2013-10-15,North America,USA,New York City,representative,Mortimer2021
5,25818_2#13,ERR3200824,"200263716,NY0885",2014-03-10,North America,USA,New York City,representative,Mortimer2021
6,25818_2#176,ERR3200873,"101342587,NY0502",2013-03-20,North America,USA,New York City,representative,Mortimer2021
7,25818_2#181,ERR3200878,"101339753,NY0445",2013-02-06,North America,USA,New York City,representative,Mortimer2021
8,25818_2#184,ERR3200881,"101323904,NY0156",2012-07-02,North America,USA,New York City,representative,Mortimer2021
9,25818_2#207,ERR3200904,"200228786,NY0813",2013-11-29,North America,USA,New York City,representative,Mortimer2021
10,25818_2#222,ERR3200919,"200205496,NY0712",2013-09-26,North America,USA,New York City,representative,Mortimer2021
11,25818_2#270,ERR3200967,"101323227,NY0146",2012-06-26,North America,USA,New York City,representative,Mortimer2021
12,25818_2#277,ERR3200974,"101324695,NY0166",2012-07-11,North America,USA,New York City,representative,Mortimer2021
13,25818_2#7,ERR3200818,"101315868,NY0088",2012-04-27,North America,USA,New York City,representative,Mortimer2021
14,25818_3#222,ERR3201022,"101343312,NY0511",2013-03-29,North America,USA,New York City,representative,Mortimer2021
15,25818_3#234,ERR3201034,"101335210,NY0370",2012-11-30,North America,USA,New York City,representative,Mortimer2021
16,25818_3#255,ERR3201055,"101337195,NY0417",2012-12-31,North America,USA,New York City,representative,Mortimer2021
17,25818_3#268,ERR3201068,"101328235,NY0252",2012-08-23,North America,USA,New York City,representative,Mortimer2021
18,25818_3#361,ERR3201161,"101336393,NY0401",2012-12-17,North America,USA,New York City,representative,Mortimer2021
19,25825_2#43,ERR3201226,"101340792,NY0466",2013-02-23,North America,USA,New York City,representative,Mortimer2021
20,25825_2#44,ERR3201227,"101335904,NY0392",2012-12-10,North America,USA,New York City,representative,Mortimer2021
21,25825_2#59,ERR3201242,"101330237,NY0299",2012-09-19,North America,USA,New York City,representative,Mortimer2021
22,25825_2#70,ERR3201253,"101326612,NY0215",2012-08-03,North America,USA,New York City,representative,Mortimer2021
23,7M,SRR16683450,7M,2019-12,Asia,Vietnam,,representative,BristowMortimer_2023
24,AUNG1065,SRR8566824,AUNG1065,2017-06-05,Oceania,Australia,Victoria,representative,Williamson2019
25,AUNG1305,SRR8566986,AUNG1305,2017-07-20,Oceania,Australia,Victoria,representative,Williamson2019
