parameter	value
pastml_version	1.9.49
character	opaA_hv1
log_likelihood	-277.40277099700467
log_likelihood_restricted_JOINT	-364.2908252264689
log_likelihood_restricted_MAP	-368.35218330454427
log_likelihood_restricted_MPPA	-292.78336401634846
num_scenarios	63736516064949455540045164525508880615234375000000000000000
num_states_per_node_avg	2.0252365930599368
num_unresolved_nodes	91
percentage_of_unresolved_nodes	28.706624605678233
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.05013550293567079
state_changes_per_avg_branch	2.3728230936282397
smoothing_factor	0
1	0.289091568659615
10	0.008990094133073149
12	0.017992589993236222
13	0.008982550017500814
14	0.00899548241485809
16	0.04492044807137164
17	0.008991408821318391
18	0.008991421854736826
2	0.18799996132010316
3	0.14159241327930375
4	0.12496822753736987
5	0.08243381630569674
6	0.010812070780110901
7	0.01800423091356593
8	0.03723371589813961
