parameter	value
pastml_version	1.9.49
character	opaB_hv2
log_likelihood	-220.90000724247687
log_likelihood_restricted_JOINT	-319.3900042184123
log_likelihood_restricted_MAP	-323.4223408112716
log_likelihood_restricted_MPPA	-230.7700066862529
num_scenarios	25901583975222445162143364337321344945776572283043173262955958554158479724402991288093075654883776319317338366861639680000
num_states_per_node_avg	4.012618296529968
num_unresolved_nodes	144
percentage_of_unresolved_nodes	45.42586750788644
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.03696636108605804
state_changes_per_avg_branch	1.7495513186522944
smoothing_factor	0
1	0.2224789295553075
10	0.06036786516405104
2	0.05472664888096539
3	0.2057894964280978
4	0.09378128967853197
5	0.05505123996822215
6	0.11633735074844577
7	0.0952953151463363
8	0.043670352049152546
9	0.052501512380889556
