parameter	value
pastml_version	1.9.49
character	opaD_hv1
log_likelihood	-201.26254624285656
log_likelihood_restricted_JOINT	-245.142389492653
log_likelihood_restricted_MAP	-249.3283273027776
log_likelihood_restricted_MPPA	-213.39819532957435
num_scenarios	577573304728987021056935397949440000000
num_states_per_node_avg	1.5962145110410095
num_unresolved_nodes	70
percentage_of_unresolved_nodes	22.082018927444796
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.01684241877130536
state_changes_per_avg_branch	0.7971213585787563
smoothing_factor	0
1	0.25024250214816174
10	0.023316069649595556
14	0.024113958518466327
17	0.02286678613883361
2	0.31932468982174356
3	0.11621234873375136
4	0.04617675928367289
5	0.10545438486267084
6	0.045909498495032446
7	0.011446518358193594
8	0.03493648398987821
