parameter	value
pastml_version	1.9.49
character	opaH_hv2
log_likelihood	-275.7345772126627
log_likelihood_restricted_JOINT	-372.2736562163042
log_likelihood_restricted_MAP	-373.8265081267297
log_likelihood_restricted_MPPA	-286.9258726549134
num_scenarios	13432146286219223882664089067680855149047324001402741876435005210624000
num_states_per_node_avg	2.504731861198738
num_unresolved_nodes	92
percentage_of_unresolved_nodes	29.022082018927446
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.06043717085891313
state_changes_per_avg_branch	2.860382490060804
smoothing_factor	0
1	0.25572925814941916
10	0.008779146406458436
2	0.12925115442215857
3	0.10744701292851898
4	0.13302925348516337
5	0.07070906105248431
6	0.0909205347673666
7	0.12290439083613744
8	0.0440176709012012
9	0.037212517051092006
