parameter	value
pastml_version	1.9.49
character	opaI_hv2
log_likelihood	-209.0964132514793
log_likelihood_restricted_JOINT	-254.33911705303518
log_likelihood_restricted_MAP	-254.33911705303515
log_likelihood_restricted_MPPA	-225.93008868189497
num_scenarios	654836185276508331298828125000000000000000000000000
num_states_per_node_avg	1.8769716088328077
num_unresolved_nodes	82
percentage_of_unresolved_nodes	25.86750788643533
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.02603350124050223
state_changes_per_avg_branch	1.2321187448887139
smoothing_factor	0
1	0.47769763631772083
10	0.010501808408000222
2	0.09285120462255973
3	0.08079549271076462
4	0.05258924063354601
5	0.05340357475610099
6	0.07250517008614847
7	0.0867263043147266
8	0.021013880352702075
9	0.051915687797730536
