parameter	value
pastml_version	1.9.49
character	opaK_hv1
log_likelihood	-293.75382547025094
log_likelihood_restricted_JOINT	-450.28656013652517
log_likelihood_restricted_MAP	-460.80174059864777
log_likelihood_restricted_MPPA	-322.8918993569283
num_scenarios	801349959221498714564935975795956224487781582865864038467407226562500000000000000000000000000000000
num_states_per_node_avg	2.722397476340694
num_unresolved_nodes	154
percentage_of_unresolved_nodes	48.58044164037855
method	MPPA
model	F81
num_nodes	317
num_tips	159
scaling_factor	0.2112905217009226
state_changes_per_avg_branch	10.0
smoothing_factor	0
1	0.26468750107923233
10	0.007713861623278508
11	0.015437793922716362
12	0.02317413550412878
14	0.01549512304257279
15	0.007714203402061359
16	0.015437751620027609
17	0.007713865464616399
2	0.24314142831188673
3	0.12938397090856385
4	0.08515686109104684
5	0.08437192723107784
6	0.0449668308596097
7	0.007728950656874615
8	0.03243984566360696
9	0.015435949618699435
