node	1	2	3	4	5	6	7	8	9
root	5.459252212852553e-11	5.459252212852553e-11	5.459252212852553e-11	5.459252212852553e-11	5.459252212852553e-11	5.459252212852553e-11	0.9486305634163231	0.051369436201529096	5.459252212852553e-11
n0	5.1750566445549534e-11	5.1750566445549534e-11	5.1750566445549534e-11	5.1750566445549534e-11	5.1750566445549534e-11	5.1750566445549534e-11	0.9473545116998008	0.05264548793794507	5.1750566445549534e-11
10529	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n00	5.2326718924620486e-11	5.2326718924620486e-11	5.2326718924620486e-11	5.2326718924620486e-11	5.2326718924620486e-11	5.2326718924620486e-11	0.9572431124376141	0.04275688719609899	5.2326718924620486e-11
n7	4.985763925440442e-11	4.985763925440442e-11	4.985763925440442e-11	4.985763925440442e-11	4.985763925440442e-11	4.985763925440442e-11	0.9378231345589704	0.062176865092026135	4.985763925440442e-11
n1	5.2257115959024346e-11	5.2257115959024346e-11	5.2257115959024346e-11	5.2257115959024346e-11	5.2257115959024346e-11	5.2257115959024346e-11	0.9614849225046619	0.03851507712953829	5.2257115959024346e-11
10727	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n77	4.936455943246824e-11	4.936455943246824e-11	4.936455943246824e-11	4.936455943246824e-11	4.936455943246824e-11	4.936455943246824e-11	0.9323958129962712	0.06760418665817687	4.936455943246824e-11
9071	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n11	4.2753080778739935e-11	4.2753080778739935e-11	4.2753080778739935e-11	4.2753080778739935e-11	4.2753080778739935e-11	4.2753080778739935e-11	0.9786550789584746	0.0213449207422537	4.2753080778739935e-11
n55	2.4076901706945515e-12	2.4076901706945515e-12	2.4076901706945515e-12	2.4076901706945515e-12	2.4076901706945515e-12	2.4076901706945515e-12	0.9990131504797284	0.0009868495034179487	2.4076901706945515e-12
n8	5.513818408311895e-11	5.513818408311895e-11	5.513818408311895e-11	5.513818408311895e-11	5.513818408311895e-11	5.513818408311895e-11	0.8970731925074324	0.1029268071066002	5.513818408311895e-11
n9	5.033440351351953e-11	5.033440351351953e-11	5.033440351351953e-11	5.033440351351953e-11	5.033440351351953e-11	5.033440351351953e-11	0.9368178396808368	0.06318215996682229	5.033440351351953e-11
10231	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n2	1.575681992344584e-11	1.575681992344584e-11	1.575681992344584e-11	1.575681992344584e-11	1.575681992344584e-11	1.575681992344584e-11	0.9932811925220211	0.0067188073676811115	1.575681992344584e-11
n6	5.153840886270586e-13	5.153840886270586e-13	5.153840886270586e-13	5.153840886270586e-13	5.153840886270586e-13	5.153840886270586e-13	0.9997911713878664	0.00020882860852597466	5.153840886270586e-13
10562	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n88	2.3505093608966553e-12	2.3505093608966553e-12	2.3505093608966553e-12	2.3505093608966553e-12	2.3505093608966553e-12	2.3505093608966553e-12	0.9987892580449899	0.0012107419385567007	2.3505093608966553e-12
9126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n99	5.191015431454685e-11	5.191015431454685e-11	5.191015431454685e-11	5.191015431454685e-11	5.191015431454685e-11	5.191015431454685e-11	0.9690205872909071	0.030979412345721696	5.191015431454685e-11
n1010	5.9966609855957274e-12	5.9966609855957274e-12	5.9966609855957274e-12	5.9966609855957274e-12	5.9966609855957274e-12	5.9966609855957274e-12	0.9972884965022948	0.0027115034557286468	5.9966609855957274e-12
n22	5.197478170362858e-12	5.197478170362858e-12	5.197478170362858e-12	5.197478170362858e-12	5.197478170362858e-12	5.197478170362858e-12	0.9978620263663612	0.0021379735972564123	5.197478170362858e-12
10792	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n66	2.7074845442561585e-13	2.7074845442561585e-13	2.7074845442561585e-13	2.7074845442561585e-13	2.7074845442561585e-13	2.7074845442561585e-13	0.9998944590537704	0.00010554094433428671	2.7074845442561585e-13
9343	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10272	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
9399	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n10	1.7061343824893727e-12	1.7061343824893727e-12	1.7061343824893727e-12	1.7061343824893727e-12	1.7061343824893727e-12	1.7061343824893727e-12	0.9992818821782316	0.0007181178098253896	1.7061343824893727e-12
10610	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n1111	4.685458865032277e-12	4.685458865032277e-12	4.685458865032277e-12	4.685458865032277e-12	4.685458865032277e-12	4.685458865032277e-12	0.9979075229895357	0.0020924769776663027	4.685458865032277e-12
10723	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n3	9.646123289487593e-13	9.646123289487593e-13	9.646123289487593e-13	9.646123289487593e-13	9.646123289487593e-13	9.646123289487593e-13	0.9996225301860818	0.00037746980716591474	9.646123289487593e-13
n4	2.4204727079226798e-12	2.4204727079226798e-12	2.4204727079226798e-12	2.4204727079226798e-12	2.4204727079226798e-12	2.4204727079226798e-12	0.9990382349196598	0.0009617650633969838	2.4204727079226798e-12
10268	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10574	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10500	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10702	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10524	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
