node	1	2	3	4	5
root	0.12342644035983968	1.189326471891501e-12	0.8765735596365923	1.189326471891501e-12	1.189326471891501e-12
n0	0.12466293619901132	8.086603773110957e-13	0.8753370637985628	8.086603773110957e-13	8.086603773110957e-13
10529	0.0	0.0	1.0	0.0	0.0
n00	0.7550046628578604	1.4289434805790797e-12	0.24499533713785288	1.4289434805790797e-12	1.4289434805790797e-12
n7	0.015499356672787692	1.1735331137777604e-13	0.9845006433268602	1.1735331137777604e-13	1.1735331137777604e-13
n1	0.8533615706726028	1.2875073882425006e-12	0.1466384293235346	1.2875073882425006e-12	1.2875073882425006e-12
10727	1.0	0.0	0.0	0.0	0.0
n77	0.007111276161240556	3.344883613564952e-14	0.992888723838659	3.344883613564952e-14	3.344883613564952e-14
9071	0.0	0.0	1.0	0.0	0.0
n11	0.9796882258304281	6.660488123819677e-13	0.02031177416757368	6.660488123819677e-13	6.660488123819677e-13
n55	0.9997616800524232	1.9897776426682487e-14	0.00023831994751706857	1.9897776426682487e-14	1.9897776426682487e-14
n8	0.004206075347925197	1.609465440332432e-13	0.995793924651592	1.609465440332432e-13	1.609465440332432e-13
n9	0.007746215672723504	8.130796499087956e-14	0.9922537843270325	8.130796499087956e-14	8.130796499087956e-14
10231	1.0	0.0	0.0	0.0	0.0
n2	0.9991004402389208	7.760466953080236e-14	0.0008995597608464258	7.760466953080236e-14	7.760466953080236e-14
n6	0.999993338084949	7.173807748284294e-16	6.661915048876145e-06	7.173807748284294e-16	7.173807748284294e-16
10562	1.0	0.0	0.0	0.0	0.0
n88	3.802786623611613e-05	5.7286424471097875e-15	0.9999619721337467	5.7286424471097875e-15	5.7286424471097875e-15
9126	0.0	0.0	1.0	0.0	0.0
n99	0.08326397592965316	1.9799356042615837e-12	0.916736024064407	1.9799356042615837e-12	1.9799356042615837e-12
n1010	4.318802706993367e-05	6.0018714637352954e-15	0.9999568119729121	6.0018714637352954e-15	6.0018714637352954e-15
n22	0.999950171598712	7.719669920382577e-15	4.982840126478066e-05	7.719669920382577e-15	7.719669920382577e-15
10792	1.0	0.0	0.0	0.0	0.0
n66	0.9999976037229467	6.018741979524053e-16	2.3962770515948646e-06	6.018741979524053e-16	6.018741979524053e-16
9343	1.0	0.0	0.0	0.0	0.0
10272	0.0	0.0	1.0	0.0	0.0
9399	0.0	0.0	1.0	0.0	0.0
n10	0.9984931265103472	4.38354730504993e-14	0.0015068734895213266	4.38354730504993e-14	4.38354730504993e-14
10610	0.0	0.0	1.0	0.0	0.0
n1111	1.01511511905219e-05	1.4715558562319479e-15	0.999989848848805	1.4715558562319479e-15	1.4715558562319479e-15
10723	0.0	0.0	1.0	0.0	0.0
n3	0.9999918086776503	2.0951791672792684e-15	8.191322343380205e-06	2.0951791672792684e-15	2.0951791672792684e-15
n4	0.9999848362133249	3.752758988757805e-15	1.5163786663789272e-05	3.752758988757805e-15	3.752758988757805e-15
10268	1.0	0.0	0.0	0.0	0.0
10574	1.0	0.0	0.0	0.0	0.0
10500	1.0	0.0	0.0	0.0	0.0
10702	1.0	0.0	0.0	0.0	0.0
10524	0.0	0.0	1.0	0.0	0.0
n12	1.2694309898208024e-05	2.0577769653736107e-15	0.9999873056900956	2.0577769653736107e-15	2.0577769653736107e-15
10328	1.0	0.0	0.0	0.0	0.0
n33	0.9999950464067968	1.2870974051836717e-15	4.953593199302845e-06	1.2870974051836717e-15	1.2870974051836717e-15
n44	0.9999902417940597	2.5294524615875815e-15	9.758205932632252e-06	2.5294524615875815e-15	2.5294524615875815e-15
n5	0.9999969133692107	8.021256198619549e-16	3.0866307868643453e-06	8.021256198619549e-16	8.021256198619549e-16
10531	0.0	0.0	1.0	0.0	0.0
10771	0.0	0.0	1.0	0.0	0.0
10794	1.0	0.0	0.0	0.0	0.0
10814	1.0	0.0	0.0	0.0	0.0
10588	1.0	0.0	0.0	0.0	0.0
10638	1.0	0.0	0.0	0.0	0.0
10791	1.0	0.0	0.0	0.0	0.0
10795	1.0	0.0	0.0	0.0	0.0
