node	1	2	3	4	5	6	7	8	9
root	4.827486221079835e-11	4.827486221079835e-11	0.9467457941586095	0.053254205503466615	4.827486221079835e-11	4.827486221079835e-11	4.827486221079835e-11	4.827486221079835e-11	4.827486221079835e-11
n0	4.529542057742467e-11	4.529542057742467e-11	0.9453511982674314	0.05464880141550058	4.529542057742467e-11	4.529542057742467e-11	4.529542057742467e-11	4.529542057742467e-11	4.529542057742467e-11
10529	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n00	4.5995503507474044e-11	4.5995503507474044e-11	0.9564685489338121	0.043531450744219366	4.5995503507474044e-11	4.5995503507474044e-11	4.5995503507474044e-11	4.5995503507474044e-11	4.5995503507474044e-11
n7	4.338887107243929e-11	4.338887107243929e-11	0.93458619461129	0.06541380508498792	4.338887107243929e-11	4.338887107243929e-11	4.338887107243929e-11	4.338887107243929e-11	4.338887107243929e-11
n1	4.60655497980955e-11	4.60655497980955e-11	0.9611911978920674	0.038808801785473794	4.60655497980955e-11	4.60655497980955e-11	4.60655497980955e-11	4.60655497980955e-11	4.60655497980955e-11
10727	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n77	4.2582046952750005e-11	4.258204695275017e-11	0.941178672016218	0.058821327685707706	4.2582046952750005e-11	4.258204695275017e-11	4.2582046952750005e-11	4.258204695275017e-11	4.258204695275017e-11
9071	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n11	3.7878274635977576e-11	3.7878274635977576e-11	0.9797153757871274	0.020284623947724727	3.7878274635977576e-11	3.7878274635977576e-11	3.7878274635977576e-11	3.7878274635977576e-11	3.7878274635977576e-11
n55	2.0546083251973865e-12	2.0546083251973865e-12	0.9991380192978697	0.0008619806877479468	2.0546083251973865e-12	2.0546083251973865e-12	2.0546083251973865e-12	2.0546083251973865e-12	2.0546083251973865e-12
n8	4.765730101135146e-11	4.765730101135146e-11	0.953275354635572	0.04672464503082679	4.765730101135146e-11	4.765730101135146e-11	4.765730101135146e-11	4.765730101135146e-11	4.765730101135146e-11
n9	4.363104496526687e-11	4.363104496526687e-11	0.944877459189339	0.05512254050524379	4.363104496526687e-11	4.363104496526687e-11	4.363104496526687e-11	4.363104496526687e-11	4.363104496526687e-11
10231	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n2	1.3476773297011395e-11	1.3476773297011395e-11	0.9940596818913581	0.005940318014304401	1.3476773297011395e-11	1.3476773297011395e-11	1.3476773297011395e-11	1.3476773297011395e-11	1.3476773297011395e-11
n6	4.1514487022524044e-13	4.1514487022524044e-13	0.9998285226519824	0.00017147734511165552	4.1514487022524044e-13	4.1514487022524044e-13	4.1514487022524044e-13	4.1514487022524044e-13	4.1514487022524044e-13
10562	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n88	2.001970422905766e-12	2.001970422905766e-12	0.999120109806103	0.0008798901798831126	2.001970422905766e-12	2.001970422905766e-12	2.001970422905766e-12	2.001970422905766e-12	2.001970422905766e-12
9126	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n99	4.66388123129269e-11	4.66388123129269e-11	0.9720636806406737	0.027936319032854682	4.66388123129269e-11	4.66388123129269e-11	4.66388123129269e-11	4.66388123129269e-11	4.66388123129269e-11
n1010	4.983067202710135e-12	4.983067202710135e-12	0.9977287154990853	0.002271284466033227	4.983067202710135e-12	4.983067202710135e-12	4.983067202710135e-12	4.983067202710135e-12	4.983067202710135e-12
n22	4.2380693808162534e-12	4.2380693808162534e-12	0.9982175624475143	0.0017824375228192803	4.2380693808162534e-12	4.2380693808162534e-12	4.2380693808162534e-12	4.2380693808162534e-12	4.2380693808162534e-12
10792	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n66	2.1745082866809087e-13	2.1745082866809087e-13	0.9999148758996157	8.512409886211695e-05	2.1745082866809087e-13	2.1745082866809087e-13	2.1745082866809087e-13	2.1745082866809087e-13	2.1745082866809087e-13
9343	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10272	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
9399	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n10	1.4568947531684626e-12	1.4568947531684626e-12	0.9993834676867266	0.000616532303075074	1.4568947531684626e-12	1.4568947531684626e-12	1.4568947531684626e-12	1.4568947531684626e-12	1.4568947531684626e-12
10610	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n1111	3.8287471131439696e-12	3.8287471131439696e-12	0.9982773254188144	0.001722674554384364	3.8287471131439696e-12	3.8287471131439696e-12	3.8287471131439696e-12	3.8287471131439696e-12	3.8287471131439696e-12
