node	1	2	3	4	5
root	0.9787238253958165	8.589437088443612e-12	0.021276174578415446	8.589437088443612e-12	8.589437088443612e-12
n0	0.9797746247145533	6.362099655110126e-12	0.02022537526636063	6.362099655110126e-12	6.362099655110126e-12
10529	1.0	0.0	0.0	0.0	0.0
n00	0.9848901594094258	6.912925047381198e-12	0.015109840569835453	6.912925047381198e-12	6.912925047381198e-12
n7	0.974089098497931	5.6479977107964894e-12	0.025910901485124763	5.6479977107964894e-12	5.6479977107964894e-12
n1	0.9865078651527426	7.394097061590332e-12	0.01349213482507515	7.394097061590332e-12	7.394097061590332e-12
10727	1.0	0.0	0.0	0.0	0.0
n77	0.9698065754722034	5.656616071313815e-12	0.03019342451082683	5.656616071313815e-12	5.656616071313815e-12
9071	1.0	0.0	0.0	0.0	0.0
n11	0.9920952537201837	7.649386291954378e-12	0.007904746256868303	7.649386291954378e-12	7.649386291954378e-12
n55	0.9996932095366375	3.672861049387818e-13	0.00030679046226043916	3.672861049387818e-13	3.672861049387818e-13
n8	0.9143427345128223	1.2137387230045977e-11	0.08565726545076537	1.2137387230045977e-11	1.2137387230045977e-11
n9	0.9719617001239782	6.309418767201783e-12	0.028038299857093406	6.309418767201783e-12	6.309418767201783e-12
10231	1.0	0.0	0.0	0.0	0.0
n2	0.9981362299776533	2.1688760050476323e-12	0.0018637700158401877	2.1688760050476323e-12	2.1688760050476323e-12
n6	0.9999656351136906	4.1882719194440787e-14	3.436488618358659e-05	4.188271919444062e-14	4.188271919444062e-14
10562	1.0	0.0	0.0	0.0	0.0
n88	0.000789937576565446	5.5318030873385085e-14	0.9992100624232686	5.5318030873385085e-14	5.5318030873385085e-14
9126	1.0	0.0	0.0	0.0	0.0
n99	0.984458872212473	1.1515359725827008e-11	0.01554112775298092	1.1515359725827008e-11	1.1515359725827008e-11
n1010	0.9993410405920239	6.684022952993282e-13	0.0006589594059706832	6.684022952993282e-13	6.684022952993282e-13
n22	0.9996320174298143	4.4876908946816176e-13	0.0003679825688391409	4.4876908946816176e-13	4.4876908946816176e-13
10792	1.0	0.0	0.0	0.0	0.0
n66	0.9999806368992489	2.49707878869342e-14	1.9363100675874288e-05	2.49707878869342e-14	2.49707878869342e-14
9343	1.0	0.0	0.0	0.0	0.0
10272	0.0	0.0	1.0	0.0	0.0
9399	0.0	0.0	1.0	0.0	0.0
n10	0.9997729119463831	2.5752099353820613e-13	0.00022708805284454102	2.5752099353820613e-13	2.5752099353820613e-13
10610	1.0	0.0	0.0	0.0	0.0
n1111	0.9995998709105314	4.149449033025346e-13	0.0004001290882240374	4.149449033025346e-13	4.149449033025346e-13
10723	1.0	0.0	0.0	0.0	0.0
n3	0.9999313476169934	8.853179491529469e-14	6.865238274097892e-05	8.853179491529469e-14	8.853179491529469e-14
n4	0.9998503659976651	1.9082837617811307e-13	0.00014963400176242926	1.9082837617811307e-13	1.9082837617811307e-13
10268	1.0	0.0	0.0	0.0	0.0
10574	1.0	0.0	0.0	0.0	0.0
10500	1.0	0.0	0.0	0.0	0.0
10702	1.0	0.0	0.0	0.0	0.0
10524	1.0	0.0	0.0	0.0	0.0
n12	0.9998135851141737	2.282865703337189e-13	0.0001864148851412172	2.282865703337189e-13	2.282865703337189e-13
10328	1.0	0.0	0.0	0.0	0.0
n33	0.9999594426215789	5.2666051720643075e-14	4.0557378263045023e-05	5.2666051720643075e-14	5.2666051720643075e-14
n44	0.9999151872613119	1.097813774229454e-13	8.481273835892255e-05	1.097813774229454e-13	1.097813774229454e-13
n5	0.9999767307942558	3.022245924054185e-14	2.3269205653537633e-05	3.022245924054185e-14	3.022245924054185e-14
10531	1.0	0.0	0.0	0.0	0.0
10771	1.0	0.0	0.0	0.0	0.0
10794	1.0	0.0	0.0	0.0	0.0
10814	1.0	0.0	0.0	0.0	0.0
10588	1.0	0.0	0.0	0.0	0.0
10638	1.0	0.0	0.0	0.0	0.0
10791	1.0	0.0	0.0	0.0	0.0
10795	1.0	0.0	0.0	0.0	0.0
