node	1	2	3	4	5
root	0.3999999998800357	9.999999996988437e-11	0.5999999998199642	9.999999996988437e-11	9.999999996988437e-11
n0	0.3999999998800613	9.999999996975762e-11	0.5999999998199387	9.999999996975762e-11	9.999999996975762e-11
10529	1.0	0.0	0.0	0.0	0.0
n00	0.3999999998804491	9.999999996893222e-11	0.599999999819551	9.999999996893222e-11	9.999999996893222e-11
n7	0.3999999998802768	9.999999996842817e-11	0.5999999998197232	9.999999996842817e-11	9.999999996842817e-11
n1	0.39999999988160695	9.999999996507666e-11	0.5999999998183931	9.999999996507666e-11	9.999999996507666e-11
10727	1.0	0.0	0.0	0.0	0.0
n77	0.3999999998730322	9.999999996728455e-11	0.5999999998269678	9.999999996728455e-11	9.999999996728455e-11
9071	1.0	0.0	0.0	0.0	0.0
n11	0.39999993529050476	9.999998074801621e-11	0.6000000644094953	9.999998074801621e-11	9.999998074801621e-11
n55	0.4593511664229497	8.254127493373976e-11	0.5406488333294265	8.254127493373976e-11	8.254127493373976e-11
n8	0.39999999960211857	9.999999990049873e-11	0.6000000000978815	9.999999990049873e-11	9.999999990049873e-11
n9	0.39999999987790313	9.999999996832355e-11	0.5999999998220968	9.999999996832355e-11	9.999999996832355e-11
10231	0.0	0.0	1.0	0.0	0.0
n2	0.3998492469149023	9.99509043045013e-11	0.600150752785245	9.99509043045013e-11	9.99509043045013e-11
n6	0.5316851106806031	6.64123894018365e-11	0.4683148891201598	6.64123894018365e-11	6.64123894018365e-11
10562	0.0	0.0	1.0	0.0	0.0
n88	0.26769865445128477	6.692466361282145e-11	0.7323013453479413	6.692466361282145e-11	6.692466361282145e-11
9126	0.0	0.0	1.0	0.0	0.0
n99	0.40000003581841775	9.999999064054464e-11	0.5999999638815822	9.999999064054464e-11	9.999999064054464e-11
n1010	0.40095086873836344	9.906457442607786e-11	0.5990491309644428	9.906457442607786e-11	9.906457442607786e-11
n22	0.39774627543028496	9.925219335951487e-11	0.6022537242719584	9.925219335951487e-11	9.925219335951487e-11
10792	0.0	0.0	1.0	0.0	0.0
n66	0.37365255023969773	5.876561411020395e-11	0.6263474495840053	5.876561411020395e-11	5.876561411020395e-11
9343	1.0	0.0	0.0	0.0	0.0
10272	0.0	0.0	1.0	0.0	0.0
9399	0.0	0.0	1.0	0.0	0.0
n10	0.5456076011509294	6.220090802604525e-11	0.45439239866246794	6.220090802604525e-11	6.220090802604525e-11
10610	0.39999999988000284	9.999999996999886e-11	0.5999999998199971	9.999999996999886e-11	9.999999996999886e-11
n1111	0.40080326752889134	9.869095526793495e-11	0.5991967321750358	9.869095526793495e-11	9.869095526793495e-11
10723	1.0	0.0	0.0	0.0	0.0
n3	0.34625879583888874	7.589520656351378e-11	0.6537412039334256	7.589520656351378e-11	7.589520656351378e-11
n4	0.38755985327267595	9.68707484000236e-11	0.6124401464367119	9.68707484000236e-11	9.68707484000236e-11
10268	0.0	0.0	1.0	0.0	0.0
10574	1.0	0.0	0.0	0.0	0.0
10500	1.0	0.0	0.0	0.0	0.0
10702	0.0	0.0	1.0	0.0	0.0
10524	1.0	0.0	0.0	0.0	0.0
n12	0.3680288452100217	9.188433556927516e-11	0.6319711545143253	9.188433556927516e-11	9.188433556927516e-11
10328	0.0	0.0	1.0	0.0	0.0
n33	0.549023079999261	7.028494428398425e-11	0.4509769197898841	7.028494428398425e-11	7.028494428398425e-11
n44	0.34521497929687545	8.630078682321391e-11	0.6547850204442222	8.630078682321391e-11	8.630078682321391e-11
n5	0.13969120869342327	3.492272619414413e-11	0.8603087912018087	3.492272619414413e-11	3.492272619414413e-11
10531	0.0	0.0	1.0	0.0	0.0
10771	0.0	0.0	1.0	0.0	0.0
10794	1.0	0.0	0.0	0.0	0.0
10814	1.0	0.0	0.0	0.0	0.0
10588	0.0	0.0	1.0	0.0	0.0
10638	0.0	0.0	1.0	0.0	0.0
10791	0.0	0.0	1.0	0.0	0.0
10795	0.0	0.0	1.0	0.0	0.0
