parameter	value
pastml_version	1.9.49
character	opaA_hv1
log_likelihood	-27.029901327760157
log_likelihood_restricted_JOINT	-33.525071011108864
log_likelihood_restricted_MAP	-38.16795508332833
log_likelihood_restricted_MPPA	-28.668880688100327
num_scenarios	524288
num_states_per_node_avg	1.4313725490196079
num_unresolved_nodes	16
percentage_of_unresolved_nodes	31.372549019607842
method	MPPA
model	F81
num_nodes	51
num_tips	26
scaling_factor	0.12311633884843286
state_changes_per_avg_branch	0.8185561521686425
smoothing_factor	0
1	0.11538461522307694
10	9.999999986e-11
11	9.999999986e-11
13	9.999999986e-11
14	9.999999986e-11
15	9.999999986e-11
16	9.999999986e-11
17	9.999999986e-11
18	9.999999986e-11
19	9.999999986e-11
2	0.11538461522307694
20	9.999999986e-11
3	0.2692307688538461
4	9.999999986e-11
5	9.999999986e-11
6	0.4999999993
7	9.999999986e-11
8	9.999999986e-11
