parameter	value
pastml_version	1.9.49
character	opaK_hv1
log_likelihood	-31.271323505356737
log_likelihood_restricted_JOINT	-49.730725445034196
log_likelihood_restricted_MAP	-51.61358610132736
log_likelihood_restricted_MPPA	-33.19168412468085
num_scenarios	1004193907488
num_states_per_node_avg	2.0
num_unresolved_nodes	25
percentage_of_unresolved_nodes	49.01960784313726
method	MPPA
model	F81
num_nodes	51
num_tips	26
scaling_factor	0.7137423335175784
state_changes_per_avg_branch	4.7454154633632015
smoothing_factor	0
1	0.319999999552
10	9.999999986e-11
11	9.999999986e-11
12	9.999999986e-11
13	9.999999986e-11
14	9.999999986e-11
16	9.999999986e-11
17	9.999999986e-11
19	9.999999986e-11
2	0.19999999972
20	9.999999986e-11
3	0.39999999944
4	9.999999986e-11
5	9.999999986e-11
6	0.079999999888
7	9.999999986e-11
8	9.999999986e-11
9	9.999999986e-11
