,isolate,reference,subtree
0,10736,10736,1
1,9464,10736,1
2,9431,10736,1
3,9460,10736,1
4,10708,10736,1
5,10239,10736,1
6,10743,10736,1
7,10819,10736,1
8,10744,10736,1
9,FFF024,FFF024,2
10,FQ84,FFF024,2
11,FQ04,FFF024,2
12,FQ82,FFF024,2
13,SRRSH207,EEE004,3
14,SRRSH229,EEE004,3
15,SRRSH203,EEE004,3
16,SRRSH205,EEE004,3
17,SRRSH204,EEE004,3
18,SRRSH240,EEE004,3
19,SRRSH214,EEE004,3
20,SS3160,EEE004,3
21,EEE004,EEE004,3
22,BJ16148,EEE004,3
23,9126,UMASS-DGI_40,4
24,10272,UMASS-DGI_40,4
25,9399,UMASS-DGI_40,4
26,10610,UMASS-DGI_40,4
27,10500,UMASS-DGI_40,4
28,10702,UMASS-DGI_40,4
29,10727,UMASS-DGI_40,4
30,10562,UMASS-DGI_40,4
31,9343,UMASS-DGI_40,4
32,10268,UMASS-DGI_40,4
33,10588,UMASS-DGI_40,4
34,10638,UMASS-DGI_40,4
35,10794,UMASS-DGI_40,4
36,10814,UMASS-DGI_40,4
37,10328,UMASS-DGI_40,4
38,10792,UMASS-DGI_40,4
39,10231,UMASS-DGI_40,4
40,10531,UMASS-DGI_40,4
41,10574,UMASS-DGI_40,4
42,10771,UMASS-DGI_40,4
43,10791,UMASS-DGI_40,4
44,10723,UMASS-DGI_40,4
45,10524,UMASS-DGI_40,4
46,UMASS-DGI_40,UMASS-DGI_40,4
47,10795,UMASS-DGI_40,4
48,10529,UMASS-DGI_40,4
49,9071,UMASS-DGI_40,4
50,UMASS-DGI_36,UMASS-DGI_40,4
51,1145734,FFF004,5
52,EEE015,FFF004,5
53,FFF005,FFF004,5
54,FFF004,FFF004,5
55,RIVM0610,RIVM0610,6
56,FQ48,RIVM0610,6
57,GCGS0834,RIVM0610,6
58,RIVM0640,RIVM0610,6
59,1081168,RIVM0610,6
60,1130991,RIVM0610,6
61,GCGS0864,RIVM0610,6
62,9035,9035,7
63,10538,9035,7
64,10537,9035,7
65,10536,9035,7
