,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,71299.0,71374.0,70582.0,70600.0,70583.0,71399.0,71285.0,JJJ020_opa_1,1
1,1,-1,76827.0,76892.0,76092.0,76110.0,76093.0,76917.0,76813.0,JJJ020_opa_2,0
2,1,-1,568545.0,568638.0,567779.0,567797.0,567780.0,568663.0,568531.0,JJJ020_opa_3,1
3,1,1,609271.0,609369.0,610116.0,610134.0,609246.0,610133.0,609383.0,JJJ020_opa_4,0
4,1,-1,685216.0,685266.0,684457.0,684475.0,684458.0,685291.0,685202.0,JJJ020_opa_5,0
5,1,1,1173898.0,1173963.0,1174701.0,1174719.0,1173873.0,1174718.0,1173977.0,JJJ020_opa_6,0
6,1,-1,1372331.0,1372351.0,1371572.0,1371590.0,1371573.0,1372375.0,1372317.0,JJJ020_opa_7,0
7,1,1,1427146.0,1427201.0,1427924.0,1427942.0,1427121.0,1427941.0,1427215.0,JJJ020_opa_8,0
8,1,1,1476607.0,1476667.0,1477401.0,1477419.0,1476582.0,1477418.0,1476681.0,JJJ020_opa_9,1
9,1,1,1733200.0,1733265.0,1733984.0,1734002.0,1733175.0,1734001.0,1733279.0,JJJ020_opa_10,0
10,1,1,1944572.0,1944602.0,1945327.0,1945345.0,1944548.0,1945344.0,1944616.0,JJJ020_opa_11,0
