,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,69269.0,69354.0,68513.0,68531.0,68514.0,69379.0,69255.0,Ng_188_opa_1,0
1,1,-1,74815.0,74870.0,74059.0,74077.0,74060.0,74895.0,74801.0,Ng_188_opa_2,0
2,1,1,1023732.0,1023767.0,1024478.0,1024496.0,1023707.0,1024495.0,1023781.0,Ng_188_opa_3,0
3,1,-1,1101310.0,1101365.0,1100554.0,1100572.0,1100555.0,1101390.0,1101296.0,Ng_188_opa_4,0
4,1,1,1142062.0,1142172.0,1142877.0,1142895.0,1142037.0,1142894.0,1142186.0,Ng_188_opa_5,0
5,1,1,1314874.0,1314919.0,1315630.0,1315648.0,1314849.0,1315647.0,1314933.0,Ng_188_opa_6,1
6,1,-1,1511487.0,1511552.0,1510743.0,1510761.0,1510744.0,1511576.0,1511473.0,Ng_188_opa_7,0
7,1,1,1564870.0,1564915.0,1565620.0,1565638.0,1564845.0,1565637.0,1564929.0,Ng_188_opa_8,1
8,1,1,1614333.0,1614368.0,1615106.0,1615124.0,1614308.0,1615123.0,1614382.0,Ng_188_opa_9,0
9,1,-1,1937348.0,1937458.0,1936592.0,1936610.0,1936593.0,1937482.0,1937334.0,Ng_188_opa_10,0
10,1,-1,2146381.0,2146421.0,2145658.0,2145676.0,2145659.0,2146446.0,2146367.0,Ng_188_opa_11,0
