,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,69623.0,69658.0,68891.0,68909.0,68892.0,69683.0,69609.0,EEE014_opa_1,0
1,1,-1,75701.0,75726.0,74960.0,74978.0,74961.0,75751.0,75687.0,EEE014_opa_2,0
2,1,1,999608.0,999663.0,1000365.0,1000383.0,999583.0,1000382.0,999677.0,EEE014_opa_3,0
3,1,-1,1077441.0,1077516.0,1076727.0,1076745.0,1076728.0,1077541.0,1077427.0,EEE014_opa_4,1
4,1,1,1118219.0,1118264.0,1118978.0,1118996.0,1118194.0,1118995.0,1118278.0,EEE014_opa_5,1
5,1,1,1177337.0,1177389.0,1178082.0,1178100.0,1177312.0,1178099.0,1177403.0,EEE014_opa_6,0
6,1,-1,1378188.0,1378283.0,1377446.0,1377464.0,1377447.0,1378307.0,1378174.0,EEE014_opa_7,0
7,1,1,1432062.0,1432139.0,1432853.0,1432871.0,1432037.0,1432870.0,1432153.0,EEE014_opa_8,0
8,1,1,1482015.0,1482050.0,1482779.0,1482797.0,1481990.0,1482796.0,1482064.0,EEE014_opa_9,0
9,1,1,1743300.0,1743377.0,1744091.0,1744109.0,1743275.0,1744108.0,1743391.0,EEE014_opa_10,0
10,1,1,1959946.0,1960026.0,1960734.0,1960752.0,1959922.0,1960751.0,1960040.0,EEE014_opa_11,0
