,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP106775.1,-1,75574.0,75614.0,74851.0,74869.0,74852.0,75639.0,75560.0,10702_opa_1,0
1,NZ_CP106775.1,1,987884.0,987899.0,988631.0,988649.0,987858.0,988648.0,987913.0,10702_opa_2,0
2,NZ_CP106775.1,-1,1065902.0,1065922.0,1065167.0,1065185.0,1065168.0,1065947.0,1065888.0,10702_opa_3,0
3,NZ_CP106775.1,1,1100572.0,1100582.0,1101290.0,1101308.0,1100547.0,1101307.0,1100596.0,10702_opa_4,0
4,NZ_CP106775.1,1,1296034.0,1296074.0,1296788.0,1296806.0,1296009.0,1296805.0,1296088.0,10702_opa_5,0
5,NZ_CP106775.1,-1,1495499.0,1495569.0,1494773.0,1494791.0,1494774.0,1495593.0,1495485.0,10702_opa_6,1
6,NZ_CP106775.1,1,1548698.0,1548733.0,1549438.0,1549456.0,1548673.0,1549455.0,1548747.0,10702_opa_7,0
7,NZ_CP106775.1,1,1598145.0,1598195.0,1598936.0,1598954.0,1598120.0,1598953.0,1598209.0,10702_opa_8,0
8,NZ_CP106775.1,-1,1893504.0,1893554.0,1892754.0,1892772.0,1892755.0,1893578.0,1893490.0,10702_opa_9,0
9,NZ_CP106775.1,-1,2100393.0,2100428.0,2099640.0,2099658.0,2099641.0,2100453.0,2100379.0,10702_opa_10,0
