,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP173226.1,-1,74818.0,74883.0,74089.0,74107.0,74090.0,74908.0,74804.0,NCTC8375_opa_1,0
1,NZ_CP173226.1,-1,499674.0,499714.0,498924.0,498942.0,498925.0,499739.0,499660.0,NCTC8375_opa_2,0
2,NZ_CP173226.1,1,540391.0,540446.0,541178.0,541196.0,540366.0,541195.0,540460.0,NCTC8375_opa_3,0
3,NZ_CP173226.1,-1,618204.0,618229.0,617493.0,617511.0,617494.0,618254.0,618190.0,NCTC8375_opa_4,0
4,NZ_CP173226.1,1,1275725.0,1275735.0,1276440.0,1276458.0,1275700.0,1276457.0,1275749.0,NCTC8375_opa_5,0
5,NZ_CP173226.1,-1,1474350.0,1474430.0,1473630.0,1473648.0,1473631.0,1474454.0,1474336.0,NCTC8375_opa_6,0
6,NZ_CP173226.1,1,1528037.0,1528077.0,1528770.0,1528788.0,1528012.0,1528787.0,1528091.0,NCTC8375_opa_7,0
7,NZ_CP173226.1,1,1577480.0,1577540.0,1578239.0,1578257.0,1577455.0,1578256.0,1577554.0,NCTC8375_opa_8,1
8,NZ_CP173226.1,-1,1901341.0,1901416.0,1900588.0,1900606.0,1900589.0,1901440.0,1901327.0,NCTC8375_opa_9,0
9,NZ_CP173226.1,-1,2107817.0,2107857.0,2107106.0,2107124.0,2107107.0,2107882.0,2107803.0,NCTC8375_opa_10,0
