,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP032398.2,-1,71342.0,71427.0,70622.0,70640.0,70623.0,71452.0,71328.0,TFG-A2_opa_1,0
1,NZ_CP032398.2,-1,76865.0,76920.0,76130.0,76148.0,76131.0,76945.0,76851.0,TFG-A2_opa_2,0
2,NZ_CP032398.2,-1,500631.0,500691.0,499918.0,499936.0,499919.0,500716.0,500617.0,TFG-A2_opa_3,1
3,NZ_CP032398.2,1,541380.0,541440.0,542172.0,542190.0,541355.0,542189.0,541454.0,TFG-A2_opa_4,1
4,NZ_CP032398.2,-1,619015.0,619035.0,618289.0,618307.0,618290.0,619060.0,619001.0,TFG-A2_opa_5,0
5,NZ_CP032398.2,1,1278670.0,1278710.0,1279439.0,1279457.0,1278645.0,1279456.0,1278724.0,TFG-A2_opa_6,0
6,NZ_CP032398.2,-1,1478382.0,1478557.0,1477635.0,1477653.0,1477636.0,1478581.0,1478368.0,TFG-A2_opa_7,1
7,NZ_CP032398.2,1,1532503.0,1532548.0,1533277.0,1533295.0,1532478.0,1533294.0,1532562.0,TFG-A2_opa_8,1
8,NZ_CP032398.2,1,1581981.0,1581996.0,1582692.0,1582710.0,1581958.0,1582709.0,1582010.0,TFG-A2_opa_9,0
9,NZ_CP032398.2,-1,1903820.0,1903915.0,1903073.0,1903091.0,1903074.0,1903939.0,1903806.0,TFG-A2_opa_10,0
10,NZ_CP032398.2,-1,2110043.0,2110118.0,2109329.0,2109347.0,2109330.0,2110143.0,2110029.0,TFG-A2_opa_11,1
