,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP048246.1,-1,71398.0,71453.0,70654.0,70672.0,70655.0,71478.0,71384.0,CT602_opa_1,0
1,NZ_CP048246.1,-1,76826.0,76861.0,76094.0,76112.0,76095.0,76886.0,76812.0,CT602_opa_2,0
2,NZ_CP048246.1,1,929161.0,929181.0,929916.0,929934.0,929136.0,929933.0,929195.0,CT602_opa_3,0
3,NZ_CP048246.1,-1,1006698.0,1006733.0,1005987.0,1006005.0,1005988.0,1006758.0,1006684.0,CT602_opa_4,0
4,NZ_CP048246.1,1,1047438.0,1047488.0,1048193.0,1048211.0,1047413.0,1048210.0,1047502.0,CT602_opa_5,0
5,NZ_CP048246.1,1,1220369.0,1220404.0,1221118.0,1221136.0,1220344.0,1221135.0,1220418.0,CT602_opa_6,0
6,NZ_CP048246.1,-1,1420050.0,1420105.0,1419309.0,1419327.0,1419310.0,1420129.0,1420036.0,CT602_opa_7,1
7,NZ_CP048246.1,1,1473475.0,1473525.0,1474239.0,1474257.0,1473450.0,1474256.0,1473539.0,CT602_opa_8,0
8,NZ_CP048246.1,1,1522946.0,1522986.0,1523709.0,1523727.0,1522921.0,1523726.0,1523000.0,CT602_opa_9,0
9,NZ_CP048246.1,-1,1845235.0,1845265.0,1844482.0,1844500.0,1844483.0,1845289.0,1845221.0,CT602_opa_10,0
10,NZ_CP048246.1,-1,2049272.0,2049322.0,2048540.0,2048558.0,2048541.0,2049347.0,2049258.0,CT602_opa_11,0
