,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,69875.0,69930.0,69140.0,69158.0,69141.0,69955.0,69861.0,FA1090_opa_1,0
1,1,-1,75621.0,75666.0,74892.0,74910.0,74893.0,75691.0,75607.0,FA1090_opa_2,1
2,1,1,925045.0,925125.0,925851.0,925869.0,925020.0,925868.0,925139.0,FA1090_opa_3,0
3,1,-1,1000570.0,1000665.0,999844.0,999862.0,999845.0,1000690.0,1000556.0,FA1090_opa_4,0
4,1,1,1035335.0,1035345.0,1036062.0,1036080.0,1035310.0,1036079.0,1035359.0,FA1090_opa_5,0
5,1,1,1231574.0,1231629.0,1232361.0,1232379.0,1231549.0,1232378.0,1231643.0,FA1090_opa_6,0
6,1,-1,1428426.0,1428476.0,1427667.0,1427685.0,1427668.0,1428500.0,1428412.0,FA1090_opa_7,0
7,1,1,1482736.0,1482791.0,1483526.0,1483544.0,1482711.0,1483543.0,1482805.0,FA1090_opa_8,0
8,1,1,1532619.0,1532639.0,1533365.0,1533383.0,1532594.0,1533382.0,1532653.0,FA1090_opa_9,0
9,1,-1,1832207.0,1832272.0,1831454.0,1831472.0,1831455.0,1832296.0,1832193.0,FA1090_opa_10,0
10,1,-1,2038358.0,2038408.0,2037629.0,2037647.0,2037630.0,2038433.0,2038344.0,FA1090_opa_11,0
