,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP107223.1,-1,70026.0,70066.0,69276.0,69294.0,69277.0,70091.0,70012.0,H035_opa_1,0
1,NZ_CP107223.1,-1,75449.0,75484.0,74708.0,74726.0,74709.0,75509.0,75435.0,H035_opa_2,0
2,NZ_CP107223.1,-1,568028.0,568098.0,567296.0,567314.0,567297.0,568123.0,568014.0,H035_opa_3,0
3,NZ_CP107223.1,1,608752.0,608822.0,609554.0,609572.0,608727.0,609571.0,608836.0,H035_opa_4,0
4,NZ_CP107223.1,-1,686689.0,686744.0,685963.0,685981.0,685964.0,686769.0,686675.0,H035_opa_5,0
5,NZ_CP107223.1,1,1175039.0,1175089.0,1175809.0,1175827.0,1175014.0,1175826.0,1175103.0,H035_opa_6,0
6,NZ_CP107223.1,-1,1372951.0,1373031.0,1372228.0,1372246.0,1372229.0,1373056.0,1372937.0,H035_opa_7,0
7,NZ_CP107223.1,1,1427695.0,1427745.0,1428465.0,1428483.0,1427670.0,1428482.0,1427759.0,H035_opa_8,0
8,NZ_CP107223.1,1,1477171.0,1477211.0,1477928.0,1477946.0,1477146.0,1477945.0,1477225.0,H035_opa_9,0
9,NZ_CP107223.1,1,1732212.0,1732262.0,1732997.0,1733015.0,1732187.0,1733014.0,1732276.0,H035_opa_10,0
10,NZ_CP107223.1,1,1943884.0,1943949.0,1944675.0,1944693.0,1943860.0,1944692.0,1943963.0,H035_opa_11,0
