,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,69570.0,69620.0,68838.0,68856.0,68839.0,69645.0,69556.0,96MB_opa_1,0
1,1,-1,75663.0,75698.0,74922.0,74940.0,74923.0,75723.0,75649.0,96MB_opa_2,0
2,1,1,999054.0,999089.0,999791.0,999809.0,999029.0,999808.0,999103.0,96MB_opa_3,0
3,1,-1,1076836.0,1076921.0,1076123.0,1076141.0,1076124.0,1076946.0,1076822.0,96MB_opa_4,0
4,1,1,1111597.0,1111637.0,1112351.0,1112369.0,1111572.0,1112368.0,1111651.0,96MB_opa_5,0
5,1,1,1170715.0,1170752.0,1171445.0,1171463.0,1170690.0,1171462.0,1170766.0,96MB_opa_6,0
6,1,-1,1370626.0,1370676.0,1369883.0,1369901.0,1369884.0,1370700.0,1370612.0,96MB_opa_7,0
7,1,1,1425845.0,1425892.0,1426597.0,1426615.0,1425820.0,1426614.0,1425906.0,96MB_opa_8,0
8,1,1,1475302.0,1475327.0,1476053.0,1476071.0,1475277.0,1476070.0,1475341.0,96MB_opa_9,0
9,1,1,1734893.0,1734935.0,1735640.0,1735658.0,1734868.0,1735657.0,1734949.0,96MB_opa_10,1
10,1,1,1948137.0,1948192.0,1948899.0,1948917.0,1948113.0,1948916.0,1948206.0,96MB_opa_11,1
