,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,71001.0,71051.0,70287.0,70305.0,70288.0,71076.0,70987.0,CCC012_opa_1,0
1,1,-1,76403.0,76458.0,75689.0,75707.0,75690.0,76483.0,76389.0,CCC012_opa_2,0
2,1,-1,500521.0,500596.0,499798.0,499816.0,499799.0,500621.0,500507.0,CCC012_opa_3,1
3,1,1,541254.0,541319.0,542015.0,542033.0,541229.0,542032.0,541333.0,CCC012_opa_4,0
4,1,-1,618871.0,618906.0,618121.0,618139.0,618122.0,618931.0,618857.0,CCC012_opa_5,0
5,1,1,1276670.0,1276710.0,1277430.0,1277448.0,1276645.0,1277447.0,1276724.0,CCC012_opa_6,0
6,1,-1,1476438.0,1476508.0,1475670.0,1475688.0,1475671.0,1476532.0,1476424.0,CCC012_opa_7,1
7,1,1,1530800.0,1530850.0,1531582.0,1531600.0,1530775.0,1531599.0,1530864.0,CCC012_opa_8,0
8,1,1,1580266.0,1580296.0,1581019.0,1581037.0,1580243.0,1581036.0,1580310.0,CCC012_opa_9,0
9,1,-1,1902348.0,1902383.0,1901592.0,1901610.0,1901593.0,1902407.0,1902334.0,CCC012_opa_10,0
10,1,-1,2109208.0,2109248.0,2108470.0,2108488.0,2108471.0,2109273.0,2109194.0,CCC012_opa_11,0
