,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145057.1,-1,71651.0,71691.0,70922.0,70940.0,70923.0,71716.0,71637.0,WHO_alpha_2024_opa_1,0
1,NZ_CP145057.1,-1,77132.0,77182.0,76388.0,76406.0,76389.0,77207.0,77118.0,WHO_alpha_2024_opa_2,0
2,NZ_CP145057.1,1,1057721.0,1057771.0,1058476.0,1058494.0,1057696.0,1058493.0,1057785.0,WHO_alpha_2024_opa_3,0
3,NZ_CP145057.1,-1,1135398.0,1135458.0,1134648.0,1134666.0,1134649.0,1135483.0,1135384.0,WHO_alpha_2024_opa_4,1
4,NZ_CP145057.1,1,1176116.0,1176196.0,1176916.0,1176934.0,1176091.0,1176933.0,1176210.0,WHO_alpha_2024_opa_5,0
5,NZ_CP145057.1,1,1239664.0,1239739.0,1240456.0,1240474.0,1239639.0,1240473.0,1239753.0,WHO_alpha_2024_opa_6,1
6,NZ_CP145057.1,-1,1438569.0,1438624.0,1437846.0,1437864.0,1437847.0,1438648.0,1438555.0,WHO_alpha_2024_opa_7,1
7,NZ_CP145057.1,1,1492194.0,1492244.0,1492961.0,1492979.0,1492169.0,1492978.0,1492258.0,WHO_alpha_2024_opa_8,0
8,NZ_CP145057.1,1,1541673.0,1541683.0,1542409.0,1542427.0,1541648.0,1542426.0,1541697.0,WHO_alpha_2024_opa_9,0
9,NZ_CP145057.1,1,1799762.0,1799812.0,1800538.0,1800556.0,1799737.0,1800555.0,1799826.0,WHO_alpha_2024_opa_10,0
10,NZ_CP145057.1,1,2011434.0,2011494.0,2012217.0,2012235.0,2011410.0,2012234.0,2011508.0,WHO_alpha_2024_opa_11,0
