,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,61745.0,61790.0,61045.0,61063.0,61046.0,61815.0,61731.0,GCGS0423_opa_1,1
1,1,-1,67229.0,67264.0,66491.0,66509.0,66492.0,67289.0,67204.0,GCGS0423_opa_2,0
2,1,-1,538452.0,538487.0,537727.0,537745.0,537728.0,538512.0,538438.0,GCGS0423_opa_3,0
3,1,1,567801.0,567886.0,568602.0,568620.0,567776.0,568619.0,567900.0,GCGS0423_opa_4,0
4,1,-1,644128.0,644151.0,643403.0,643421.0,643404.0,644176.0,644114.0,GCGS0423_opa_5,0
5,1,1,1182856.0,1182896.0,1183615.0,1183633.0,1182831.0,1183632.0,1182910.0,GCGS0423_opa_6,0
6,1,-1,1373378.0,1373483.0,1372631.0,1372649.0,1372632.0,1373507.0,1373364.0,GCGS0423_opa_7,0
7,1,1,1426339.0,1426379.0,1427109.0,1427127.0,1426314.0,1427126.0,1426393.0,GCGS0423_opa_8,0
8,1,1,1475794.0,1475804.0,1476484.0,1476502.0,1475769.0,1476501.0,1475818.0,GCGS0423_opa_9,0
9,1,-1,1886400.0,1886455.0,1885665.0,1885683.0,1885666.0,1886479.0,1886386.0,GCGS0423_opa_10,1
10,1,-1,2099754.0,2099789.0,2099031.0,2099049.0,2099032.0,2099814.0,2099740.0,GCGS0423_opa_11,0
