,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP034032.1,-1,70803.0,70843.0,70050.0,70068.0,70051.0,70868.0,70789.0,FQ01_opa_1,0
1,NZ_CP034032.1,-1,76294.0,76339.0,75568.0,75586.0,75569.0,76364.0,76280.0,FQ01_opa_2,1
2,NZ_CP034032.1,-1,504118.0,504188.0,503392.0,503410.0,503393.0,504213.0,504104.0,FQ01_opa_3,0
3,NZ_CP034032.1,1,544635.0,544650.0,545358.0,545376.0,544609.0,545375.0,544664.0,FQ01_opa_4,0
4,NZ_CP034032.1,-1,620475.0,620530.0,619764.0,619782.0,619765.0,620555.0,620461.0,FQ01_opa_5,0
5,NZ_CP034032.1,1,1172951.0,1172966.0,1173674.0,1173692.0,1172925.0,1173691.0,1172980.0,FQ01_opa_6,0
6,NZ_CP034032.1,-1,1472196.0,1472241.0,1471449.0,1471467.0,1471450.0,1472265.0,1472182.0,FQ01_opa_7,0
7,NZ_CP034032.1,1,1526527.0,1526577.0,1527291.0,1527309.0,1526502.0,1527308.0,1526591.0,FQ01_opa_8,0
8,NZ_CP034032.1,1,1576030.0,1576070.0,1576772.0,1576790.0,1576005.0,1576789.0,1576084.0,FQ01_opa_9,0
9,NZ_CP034032.1,-1,1899314.0,1899364.0,1898555.0,1898573.0,1898556.0,1899388.0,1899300.0,FQ01_opa_10,0
10,NZ_CP034032.1,-1,2104236.0,2104281.0,2103504.0,2103522.0,2103505.0,2104306.0,2104222.0,FQ01_opa_11,1
