,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,70501.0,70541.0,69763.0,69781.0,69764.0,70566.0,70487.0,GGG022_opa_1,0
1,1,-1,75845.0,75915.0,75117.0,75135.0,75118.0,75940.0,75831.0,GGG022_opa_2,0
2,1,1,999380.0,999430.0,1000138.0,1000156.0,999355.0,1000155.0,999444.0,GGG022_opa_3,0
3,1,-1,1077614.0,1077654.0,1076891.0,1076909.0,1076892.0,1077679.0,1077600.0,GGG022_opa_4,0
4,1,1,1118304.0,1118344.0,1119055.0,1119073.0,1118279.0,1119072.0,1118358.0,GGG022_opa_5,0
5,1,1,1178520.0,1178560.0,1179301.0,1179319.0,1178495.0,1179318.0,1178574.0,GGG022_opa_6,0
6,1,-1,1374236.0,1374301.0,1373486.0,1373504.0,1373487.0,1374325.0,1374222.0,GGG022_opa_7,0
7,1,1,1427627.0,1427662.0,1428397.0,1428415.0,1427602.0,1428414.0,1427676.0,GGG022_opa_8,0
8,1,1,1476853.0,1476903.0,1477623.0,1477641.0,1476830.0,1477640.0,1476917.0,GGG022_opa_9,1
9,1,1,1735423.0,1735463.0,1736189.0,1736207.0,1735398.0,1736206.0,1735477.0,GGG022_opa_10,0
10,1,1,1944796.0,1944866.0,1945598.0,1945616.0,1944772.0,1945615.0,1944880.0,GGG022_opa_11,1
