,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145053.1,-1,69714.0,69746.0,68979.0,68997.0,68980.0,69771.0,69700.0,WHO_beta_2024_opa_1,0
1,NZ_CP145053.1,-1,75374.0,75406.0,74627.0,74645.0,74628.0,75431.0,75360.0,WHO_beta_2024_opa_2,0
2,NZ_CP145053.1,1,925678.0,925738.0,926452.0,926470.0,925653.0,926469.0,925752.0,WHO_beta_2024_opa_3,1
3,NZ_CP145053.1,-1,1004014.0,1004069.0,1003267.0,1003285.0,1003268.0,1004092.0,1004000.0,WHO_beta_2024_opa_4,0
4,NZ_CP145053.1,1,1044721.0,1044773.0,1045517.0,1045535.0,1044696.0,1045534.0,1044787.0,WHO_beta_2024_opa_5,0
5,NZ_CP145053.1,1,1217091.0,1217138.0,1217858.0,1217876.0,1217066.0,1217875.0,1217152.0,WHO_beta_2024_opa_6,0
6,NZ_CP145053.1,-1,1410884.0,1410964.0,1410155.0,1410173.0,1410156.0,1410988.0,1410870.0,WHO_beta_2024_opa_7,0
7,NZ_CP145053.1,1,1463715.0,1463777.0,1464494.0,1464512.0,1463690.0,1464511.0,1463791.0,WHO_beta_2024_opa_8,0
8,NZ_CP145053.1,1,1512775.0,1512785.0,1513514.0,1513532.0,1512750.0,1513531.0,1512799.0,WHO_beta_2024_opa_9,0
9,NZ_CP145053.1,-1,1836216.0,1836261.0,1835466.0,1835484.0,1835467.0,1836285.0,1836202.0,WHO_beta_2024_opa_10,0
10,NZ_CP145053.1,-1,2047043.0,2047095.0,2046281.0,2046299.0,2046282.0,2047120.0,2047029.0,WHO_beta_2024_opa_11,0
