,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145086.1,-1,70292.0,70352.0,69554.0,69572.0,69555.0,70377.0,70278.0,WHO_C_2024_opa_1,1
1,NZ_CP145086.1,-1,76889.0,76934.0,76151.0,76169.0,76152.0,76958.0,76875.0,WHO_C_2024_opa_2,0
2,NZ_CP145086.1,1,925232.0,925297.0,926008.0,926026.0,925206.0,926025.0,925311.0,WHO_C_2024_opa_3,1
3,NZ_CP145086.1,-1,1000778.0,1000838.0,1000043.0,1000061.0,1000044.0,1000863.0,1000764.0,WHO_C_2024_opa_4,1
4,NZ_CP145086.1,1,1041269.0,1041369.0,1042074.0,1042092.0,1041244.0,1042091.0,1041383.0,WHO_C_2024_opa_5,0
5,NZ_CP145086.1,1,1215857.0,1215954.0,1216662.0,1216680.0,1215832.0,1216679.0,1215968.0,WHO_C_2024_opa_6,0
6,NZ_CP145086.1,-1,1415478.0,1415528.0,1414719.0,1414737.0,1414720.0,1415552.0,1415464.0,WHO_C_2024_opa_7,0
7,NZ_CP145086.1,1,1469401.0,1469426.0,1470128.0,1470146.0,1469376.0,1470145.0,1469440.0,WHO_C_2024_opa_8,0
8,NZ_CP145086.1,-1,1792786.0,1792871.0,1792063.0,1792081.0,1792064.0,1792895.0,1792772.0,WHO_C_2024_opa_9,1
9,NZ_CP145086.1,-1,2001181.0,2001216.0,2000482.0,2000500.0,2000483.0,2001241.0,2001167.0,WHO_C_2024_opa_10,0
10,NZ_CP145086.1,-1,2050380.0,2050415.0,2049660.0,2049678.0,2049661.0,2050440.0,2050366.0,WHO_C_2024_opa_11,0
