,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145037.1,-1,71993.0,72043.0,71234.0,71252.0,71235.0,72068.0,71979.0,WHO_O_2024_opa_1,0
1,NZ_CP145037.1,-1,77351.0,77421.0,76619.0,76637.0,76620.0,77446.0,77337.0,WHO_O_2024_opa_2,0
2,NZ_CP145037.1,-1,501811.0,501904.0,501070.0,501088.0,501071.0,501929.0,501797.0,WHO_O_2024_opa_3,1
3,NZ_CP145037.1,1,542611.0,542636.0,543371.0,543389.0,542586.0,543388.0,542650.0,WHO_O_2024_opa_4,0
4,NZ_CP145037.1,-1,620448.0,620503.0,619728.0,619746.0,619729.0,620528.0,620434.0,WHO_O_2024_opa_5,0
5,NZ_CP145037.1,1,1221722.0,1221762.0,1222488.0,1222506.0,1221697.0,1222505.0,1221776.0,WHO_O_2024_opa_6,0
6,NZ_CP145037.1,-1,1421707.0,1421762.0,1420990.0,1421008.0,1420991.0,1421786.0,1421693.0,WHO_O_2024_opa_7,1
7,NZ_CP145037.1,1,1474929.0,1474949.0,1475696.0,1475714.0,1474904.0,1475713.0,1474963.0,WHO_O_2024_opa_8,0
8,NZ_CP145037.1,1,1524408.0,1524448.0,1525141.0,1525159.0,1524383.0,1525158.0,1524462.0,WHO_O_2024_opa_9,0
9,NZ_CP145037.1,-1,1845961.0,1845996.0,1845232.0,1845250.0,1845233.0,1846020.0,1845947.0,WHO_O_2024_opa_10,0
10,NZ_CP145037.1,-1,2054089.0,2054114.0,2053324.0,2053342.0,2053325.0,2054139.0,2054075.0,WHO_O_2024_opa_11,0
