,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,69220.0,69260.0,68497.0,68515.0,68498.0,69285.0,69206.0,UMASS-DGI_65_opa_1,0
1,1,-1,75018.0,75058.0,74278.0,74296.0,74279.0,75083.0,75004.0,UMASS-DGI_65_opa_2,0
2,1,1,127417.0,127492.0,128218.0,128236.0,127393.0,128235.0,127506.0,UMASS-DGI_65_opa_3,0
3,1,-1,327014.0,327089.0,326291.0,326309.0,326292.0,327114.0,327000.0,UMASS-DGI_65_opa_4,1
4,1,-1,501258.0,501311.0,500526.0,500544.0,500527.0,501336.0,501244.0,UMASS-DGI_65_opa_5,0
5,1,1,541984.0,542074.0,542785.0,542803.0,541959.0,542802.0,542088.0,UMASS-DGI_65_opa_6,1
6,1,-1,620312.0,620357.0,619568.0,619586.0,619569.0,620383.0,620298.0,UMASS-DGI_65_opa_7,0
7,1,1,1533648.0,1533731.0,1534439.0,1534457.0,1533623.0,1534456.0,1533745.0,UMASS-DGI_65_opa_8,0
8,1,1,1583180.0,1583195.0,1583921.0,1583939.0,1583157.0,1583938.0,1583209.0,UMASS-DGI_65_opa_9,0
9,1,-1,1905334.0,1905394.0,1904578.0,1904596.0,1904579.0,1905418.0,1905320.0,UMASS-DGI_65_opa_10,0
