,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP116342.1,-1,69547.0,69617.0,68827.0,68845.0,68828.0,69642.0,69533.0,SE690_opa_1,0
1,NZ_CP116342.1,-1,75058.0,75098.0,74320.0,74338.0,74321.0,75123.0,75044.0,SE690_opa_2,0
2,NZ_CP116342.1,1,927012.0,927062.0,927770.0,927788.0,926987.0,927787.0,927076.0,SE690_opa_3,0
3,NZ_CP116342.1,-1,1004887.0,1004967.0,1004137.0,1004155.0,1004138.0,1004992.0,1004873.0,SE690_opa_4,0
4,NZ_CP116342.1,1,1045668.0,1045748.0,1046483.0,1046501.0,1045643.0,1046500.0,1045762.0,SE690_opa_5,0
5,NZ_CP116342.1,1,1217893.0,1217951.0,1218683.0,1218701.0,1217868.0,1218700.0,1217965.0,SE690_opa_6,0
6,NZ_CP116342.1,-1,1418314.0,1418364.0,1417573.0,1417591.0,1417574.0,1418388.0,1418300.0,SE690_opa_7,0
7,NZ_CP116342.1,1,1472621.0,1472678.0,1473422.0,1473440.0,1472596.0,1473439.0,1472692.0,SE690_opa_8,1
8,NZ_CP116342.1,1,1521698.0,1521733.0,1522478.0,1522496.0,1521673.0,1522495.0,1521747.0,SE690_opa_9,0
9,NZ_CP116342.1,-1,1844728.0,1844788.0,1844002.0,1844020.0,1844003.0,1844812.0,1844714.0,SE690_opa_10,0
10,NZ_CP116342.1,-1,2054358.0,2054413.0,2053605.0,2053623.0,2053606.0,2054438.0,2054344.0,SE690_opa_11,0
