,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP119142.1,-1,71814.0,71869.0,71070.0,71088.0,71071.0,71894.0,71800.0,2022NG-0032_opa_1,0
1,NZ_CP119142.1,-1,77305.0,77375.0,76570.0,76588.0,76571.0,77400.0,77291.0,2022NG-0032_opa_2,0
2,NZ_CP119142.1,1,996534.0,996594.0,997320.0,997338.0,996509.0,997337.0,996608.0,2022NG-0032_opa_3,1
3,NZ_CP119142.1,-1,1074432.0,1074472.0,1073700.0,1073718.0,1073701.0,1074497.0,1074418.0,2022NG-0032_opa_4,0
4,NZ_CP119142.1,1,1115127.0,1115192.0,1115921.0,1115939.0,1115102.0,1115938.0,1115206.0,2022NG-0032_opa_5,0
5,NZ_CP119142.1,1,1175708.0,1175728.0,1176442.0,1176460.0,1175683.0,1176459.0,1175742.0,2022NG-0032_opa_6,0
6,NZ_CP119142.1,-1,1373109.0,1373174.0,1372386.0,1372404.0,1372387.0,1373198.0,1373095.0,2022NG-0032_opa_7,0
7,NZ_CP119142.1,1,1427186.0,1427256.0,1427970.0,1427988.0,1427161.0,1427987.0,1427270.0,2022NG-0032_opa_8,0
8,NZ_CP119142.1,1,1476678.0,1476743.0,1477439.0,1477457.0,1476655.0,1477456.0,1476757.0,2022NG-0032_opa_9,1
9,NZ_CP119142.1,1,1731998.0,1732068.0,1732788.0,1732806.0,1731973.0,1732805.0,1732082.0,2022NG-0032_opa_10,0
10,NZ_CP119142.1,1,1943885.0,1943920.0,1944655.0,1944673.0,1943861.0,1944672.0,1943934.0,2022NG-0032_opa_11,0
