,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,71029.0,71094.0,70285.0,70303.0,70286.0,71119.0,71015.0,DDD031_opa_1,0
1,1,-1,76467.0,76502.0,75735.0,75753.0,75736.0,76527.0,76453.0,DDD031_opa_2,0
2,1,-1,501094.0,501119.0,500371.0,500389.0,500372.0,501144.0,501080.0,DDD031_opa_3,0
3,1,1,541823.0,541953.0,542649.0,542667.0,541798.0,542666.0,541967.0,DDD031_opa_4,0
4,1,-1,619480.0,619490.0,618727.0,618745.0,618728.0,619515.0,619466.0,DDD031_opa_5,0
5,1,1,1219537.0,1219577.0,1220291.0,1220309.0,1219512.0,1220308.0,1219591.0,DDD031_opa_6,0
6,1,-1,1419234.0,1419299.0,1418487.0,1418505.0,1418488.0,1419323.0,1419220.0,DDD031_opa_7,0
7,1,1,1473807.0,1473852.0,1474557.0,1474575.0,1473782.0,1474574.0,1473866.0,DDD031_opa_8,1
8,1,1,1523264.0,1523304.0,1524030.0,1524048.0,1523239.0,1524047.0,1523318.0,DDD031_opa_9,0
9,1,-1,1845837.0,1845897.0,1845111.0,1845129.0,1845112.0,1845921.0,1845823.0,DDD031_opa_10,0
10,1,-1,2052770.0,2052815.0,2052038.0,2052056.0,2052039.0,2052840.0,2052756.0,DDD031_opa_11,1
