,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145083.1,-1,70726.0,70766.0,69994.0,70012.0,69995.0,70791.0,70712.0,WHO_D_2024_opa_1,0
1,NZ_CP145083.1,-1,76212.0,76262.0,75468.0,75486.0,75469.0,76287.0,76198.0,WHO_D_2024_opa_2,0
2,NZ_CP145083.1,-1,500159.0,500202.0,499418.0,499436.0,499419.0,500227.0,500145.0,WHO_D_2024_opa_3,0
3,NZ_CP145083.1,1,540909.0,540934.0,541669.0,541687.0,540884.0,541686.0,540948.0,WHO_D_2024_opa_4,0
4,NZ_CP145083.1,-1,618777.0,618792.0,618042.0,618060.0,618043.0,618817.0,618763.0,WHO_D_2024_opa_5,1
5,NZ_CP145083.1,1,1220715.0,1220750.0,1221476.0,1221494.0,1220690.0,1221493.0,1220764.0,WHO_D_2024_opa_6,0
6,NZ_CP145083.1,-1,1420324.0,1420369.0,1419574.0,1419592.0,1419575.0,1420393.0,1420310.0,WHO_D_2024_opa_7,0
7,NZ_CP145083.1,1,1473633.0,1473673.0,1474399.0,1474417.0,1473608.0,1474416.0,1473687.0,WHO_D_2024_opa_8,0
8,NZ_CP145083.1,1,1522669.0,1522719.0,1523418.0,1523436.0,1522646.0,1523435.0,1522733.0,WHO_D_2024_opa_9,1
9,NZ_CP145083.1,-1,1845635.0,1845710.0,1844876.0,1844894.0,1844877.0,1845734.0,1845621.0,WHO_D_2024_opa_10,0
10,NZ_CP145083.1,-1,2055249.0,2055299.0,2054496.0,2054514.0,2054497.0,2055324.0,2055235.0,WHO_D_2024_opa_11,0
