,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145064.1,-1,68882.0,68955.0,68141.0,68159.0,68142.0,68980.0,68868.0,WHO_S_2024_opa_1,0
1,NZ_CP145064.1,-1,74881.0,74961.0,74137.0,74155.0,74138.0,74986.0,74867.0,WHO_S_2024_opa_2,0
2,NZ_CP145064.1,1,981740.0,981790.0,982501.0,982519.0,981715.0,982518.0,981804.0,WHO_S_2024_opa_3,0
3,NZ_CP145064.1,-1,1059903.0,1059973.0,1059168.0,1059186.0,1059169.0,1059998.0,1059889.0,WHO_S_2024_opa_4,0
4,NZ_CP145064.1,1,1089327.0,1089407.0,1090139.0,1090157.0,1089303.0,1090156.0,1089421.0,WHO_S_2024_opa_5,0
5,NZ_CP145064.1,1,1148983.0,1149043.0,1149751.0,1149769.0,1148958.0,1149768.0,1149057.0,WHO_S_2024_opa_6,1
6,NZ_CP145064.1,-1,1348836.0,1348891.0,1348086.0,1348104.0,1348087.0,1348915.0,1348822.0,WHO_S_2024_opa_7,1
7,NZ_CP145064.1,1,1402251.0,1402291.0,1402999.0,1403017.0,1402226.0,1403016.0,1402305.0,WHO_S_2024_opa_8,0
8,NZ_CP145064.1,1,1451734.0,1451794.0,1452535.0,1452553.0,1451711.0,1452552.0,1451808.0,WHO_S_2024_opa_9,0
9,NZ_CP145064.1,-1,1888081.0,1888146.0,1887319.0,1887337.0,1887320.0,1888170.0,1888067.0,WHO_S_2024_opa_10,0
10,NZ_CP145064.1,-1,2107105.0,2107170.0,2106361.0,2106379.0,2106362.0,2107195.0,2107091.0,WHO_S_2024_opa_11,0
