,strain,id,start,stop,strand,start_FA1090,strand_FA1090
0,10610,10610_opa_10,2102791.0,2103614.0,-1,2102791.0,-1.0
1,10743,10743_opa_8,1534646.0,1535430.0,1,75671.0,-1.0
2,1123850,1123850_opa_3,494891.0,495718.0,-1,494891.0,-1.0
3,AT159,AT159_opa_9,1790846.0,1791697.0,1,75496.0,-1.0
4,AUNG1065,AUNG1065_opa_7,1515225.0,1516099.0,1,75450.0,-1.0
5,CCC028,CCC028_opa_10,1737074.0,1737899.0,1,1737074.0,1.0
6,DDD029,DDD029_opa_9,1453001.0,1453807.0,1,75704.0,-1.0
7,DDD034,DDD034_opa_9,1453062.0,1453873.0,1,75703.0,-1.0
8,DDD038,DDD038_opa_9,1452168.0,1452974.0,1,75703.0,-1.0
9,GCGS0245,GCGS0245_opa_8,1348523.0,1349315.0,1,1348523.0,1.0
10,NG196,NG196_opa_6,1124580.0,1125415.0,1,1124580.0,1.0
11,NG290,NG290_opa_6,1125670.0,1126493.0,1,1125670.0,1.0
12,TUM15748,TUM15748_opa_7,1557757.0,1558566.0,1,75551.0,-1.0
13,UMASS-DGI_26,UMASS-DGI_26_opa_2,74272.0,75057.0,-1,74272.0,-1.0
14,WHO_T_2024,WHO_T_2024_opa_6,1163549.0,1164352.0,1,1163549.0,1.0
