,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP045832.1,-1,71434.0,71462.0,70700.0,70718.0,70701.0,71487.0,71420.0,AUSMDU00010541_opa_1,0
1,NZ_CP045832.1,-1,76909.0,76964.0,76165.0,76183.0,76166.0,76989.0,76895.0,AUSMDU00010541_opa_2,0
2,NZ_CP045832.1,-1,627186.0,627241.0,626466.0,626484.0,626467.0,627266.0,627172.0,AUSMDU00010541_opa_3,0
3,NZ_CP045832.1,-1,688681.0,688736.0,687922.0,687940.0,687923.0,688761.0,688667.0,AUSMDU00010541_opa_4,0
4,NZ_CP045832.1,1,729143.0,729198.0,729909.0,729927.0,729116.0,729926.0,729212.0,AUSMDU00010541_opa_5,1
5,NZ_CP045832.1,-1,806737.0,806792.0,806029.0,806047.0,806030.0,806817.0,806723.0,AUSMDU00010541_opa_6,0
6,NZ_CP045832.1,-1,1379295.0,1379350.0,1378533.0,1378551.0,1378534.0,1379374.0,1379281.0,AUSMDU00010541_opa_7,1
7,NZ_CP045832.1,1,1435299.0,1435354.0,1436068.0,1436086.0,1435274.0,1436085.0,1435368.0,AUSMDU00010541_opa_8,0
8,NZ_CP045832.1,1,1484777.0,1484832.0,1485573.0,1485591.0,1484754.0,1485590.0,1484846.0,AUSMDU00010541_opa_9,0
9,NZ_CP045832.1,1,1739328.0,1739388.0,1740111.0,1740129.0,1739303.0,1740128.0,1739402.0,AUSMDU00010541_opa_10,1
10,NZ_CP045832.1,1,1951537.0,1951597.0,1952326.0,1952344.0,1951513.0,1952343.0,1951611.0,AUSMDU00010541_opa_11,0
