,range_start,range_stop,num_opa,labels
0,0.0,150000.0,2,"A,B"
1,800000.0,1100000.0,3,"C,D,E"
2,1200000.0,1300000.0,1,F
3,1400000.0,1600000.0,3,"G,H,I"
4,1800000.0,1900000.0,1,J
5,2000000.0,2100000.0,1,K
