,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,71383.0,71418.0,70660.0,70678.0,70661.0,71443.0,71369.0,FFF024_opa_1,0
1,1,-1,76714.0,76789.0,75970.0,75988.0,75971.0,76814.0,76700.0,FFF024_opa_2,1
2,1,-1,89452.0,89462.0,88714.0,88732.0,88715.0,89487.0,89438.0,FFF024_opa_3,0
3,1,-1,138923.0,138993.0,138164.0,138182.0,138165.0,139018.0,138909.0,FFF024_opa_4,0
4,1,1,192217.0,192277.0,193018.0,193036.0,192193.0,193035.0,192291.0,FFF024_opa_5,0
5,1,-1,390183.0,390223.0,389430.0,389448.0,389431.0,390248.0,390169.0,FFF024_opa_6,0
6,1,-1,562595.0,562645.0,561872.0,561890.0,561873.0,562670.0,562581.0,FFF024_opa_7,0
7,1,1,603040.0,603125.0,603866.0,603884.0,603015.0,603883.0,603139.0,FFF024_opa_8,0
8,1,-1,681184.0,681219.0,680461.0,680479.0,680462.0,681244.0,681170.0,FFF024_opa_9,0
9,1,-1,1898276.0,1898296.0,1897523.0,1897541.0,1897524.0,1898320.0,1898262.0,FFF024_opa_10,0
10,1,-1,2104562.0,2104627.0,2103818.0,2103836.0,2103819.0,2104652.0,2104548.0,FFF024_opa_11,0
