,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145052.1,-1,69402.0,69442.0,68658.0,68676.0,68659.0,69467.0,69388.0,WHO_F_2024_opa_1,0
1,NZ_CP145052.1,-1,75555.0,75610.0,74823.0,74841.0,74824.0,75635.0,75541.0,WHO_F_2024_opa_2,0
2,NZ_CP145052.1,1,985054.0,985104.0,985794.0,985812.0,985029.0,985811.0,985118.0,WHO_F_2024_opa_3,0
3,NZ_CP145052.1,-1,1092950.0,1092990.0,1092200.0,1092218.0,1092201.0,1093015.0,1092936.0,WHO_F_2024_opa_4,0
4,NZ_CP145052.1,1,1133683.0,1133703.0,1134417.0,1134435.0,1133658.0,1134434.0,1133717.0,WHO_F_2024_opa_5,0
5,NZ_CP145052.1,1,1328256.0,1328281.0,1328986.0,1329004.0,1328231.0,1329003.0,1328295.0,WHO_F_2024_opa_6,0
6,NZ_CP145052.1,-1,1526668.0,1526778.0,1525936.0,1525954.0,1525937.0,1526802.0,1526654.0,WHO_F_2024_opa_7,0
7,NZ_CP145052.1,1,1612632.0,1612672.0,1613386.0,1613404.0,1612607.0,1613403.0,1612686.0,WHO_F_2024_opa_8,0
8,NZ_CP145052.1,1,1662254.0,1662264.0,1662981.0,1662999.0,1662229.0,1662998.0,1662278.0,WHO_F_2024_opa_9,0
9,NZ_CP145052.1,-1,1960134.0,1960157.0,1959390.0,1959408.0,1959391.0,1960181.0,1960120.0,WHO_F_2024_opa_10,0
10,NZ_CP145052.1,-1,2167113.0,2167163.0,2166366.0,2166384.0,2166367.0,2167188.0,2167099.0,WHO_F_2024_opa_11,0
