,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP020419.2,-1,69707.0,69767.0,69008.0,69026.0,69009.0,69792.0,69693.0,FDAARGOS_207_opa_1,1
1,NZ_CP020419.2,-1,75220.0,75315.0,74470.0,74488.0,74471.0,75340.0,75206.0,FDAARGOS_207_opa_2,0
2,NZ_CP020419.2,-1,515823.0,515833.0,515073.0,515091.0,515074.0,515858.0,515809.0,FDAARGOS_207_opa_3,0
3,NZ_CP020419.2,1,545175.0,545235.0,545976.0,545994.0,545150.0,545993.0,545249.0,FDAARGOS_207_opa_4,1
4,NZ_CP020419.2,-1,621588.0,621653.0,620865.0,620883.0,620866.0,621678.0,621574.0,FDAARGOS_207_opa_5,0
5,NZ_CP020419.2,1,1119562.0,1119617.0,1120298.0,1120316.0,1119537.0,1120315.0,1119631.0,FDAARGOS_207_opa_6,0
6,NZ_CP020419.2,-1,1314976.0,1315031.0,1314241.0,1314259.0,1314242.0,1315055.0,1314962.0,FDAARGOS_207_opa_7,1
7,NZ_CP020419.2,1,1369624.0,1369664.0,1370405.0,1370423.0,1369599.0,1370422.0,1369678.0,FDAARGOS_207_opa_8,0
8,NZ_CP020419.2,1,1419398.0,1419418.0,1420126.0,1420144.0,1419373.0,1420143.0,1419432.0,FDAARGOS_207_opa_9,0
9,NZ_CP020419.2,-1,1863726.0,1863776.0,1862991.0,1863009.0,1862992.0,1863800.0,1863712.0,FDAARGOS_207_opa_10,0
10,NZ_CP020419.2,-1,2076905.0,2076965.0,2076146.0,2076164.0,2076147.0,2076990.0,2076891.0,FDAARGOS_207_opa_11,1
