,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145028.1,-1,70641.0,70701.0,69891.0,69909.0,69892.0,70726.0,70627.0,WHO_R_2024_opa_1,1
1,NZ_CP145028.1,-1,76137.0,76187.0,75402.0,75420.0,75403.0,76212.0,76123.0,WHO_R_2024_opa_2,0
2,NZ_CP145028.1,1,983799.0,983849.0,984554.0,984572.0,983774.0,984571.0,983863.0,WHO_R_2024_opa_3,0
3,NZ_CP145028.1,-1,1059200.0,1059225.0,1058480.0,1058498.0,1058481.0,1059250.0,1059186.0,WHO_R_2024_opa_4,0
4,NZ_CP145028.1,1,1099619.0,1099644.0,1100382.0,1100400.0,1099594.0,1100399.0,1099658.0,WHO_R_2024_opa_5,0
5,NZ_CP145028.1,1,1269337.0,1269402.0,1270125.0,1270143.0,1269312.0,1270142.0,1269416.0,WHO_R_2024_opa_6,0
6,NZ_CP145028.1,-1,1469079.0,1469129.0,1468341.0,1468359.0,1468342.0,1469153.0,1469065.0,WHO_R_2024_opa_7,0
7,NZ_CP145028.1,1,1522892.0,1522962.0,1523679.0,1523697.0,1522867.0,1523696.0,1522976.0,WHO_R_2024_opa_8,0
8,NZ_CP145028.1,1,1572206.0,1572236.0,1572959.0,1572977.0,1572183.0,1572976.0,1572250.0,WHO_R_2024_opa_9,0
9,NZ_CP145028.1,-1,1891002.0,1891037.0,1890243.0,1890261.0,1890244.0,1891061.0,1890988.0,WHO_R_2024_opa_10,0
10,NZ_CP145028.1,-1,2101794.0,2101864.0,2101053.0,2101071.0,2101054.0,2101889.0,2101780.0,WHO_R_2024_opa_11,0
