,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,1,-1,70679.0,70746.0,69965.0,69983.0,69966.0,70771.0,70665.0,HHH023_opa_1,0
1,1,-1,76191.0,76213.0,75477.0,75495.0,75478.0,76238.0,76177.0,HHH023_opa_2,0
2,1,1,984167.0,984207.0,984919.0,984937.0,984142.0,984936.0,984221.0,HHH023_opa_3,0
3,1,-1,1062479.0,1062526.0,1061741.0,1061759.0,1061742.0,1062551.0,1062465.0,HHH023_opa_4,0
4,1,1,1103180.0,1103217.0,1103934.0,1103952.0,1103155.0,1103951.0,1103231.0,HHH023_opa_5,0
5,1,1,1275515.0,1275552.0,1276272.0,1276290.0,1275490.0,1276289.0,1275566.0,HHH023_opa_6,0
6,1,-1,1469982.0,1470047.0,1469250.0,1469268.0,1469251.0,1470071.0,1469968.0,HHH023_opa_7,0
7,1,1,1523567.0,1523614.0,1524343.0,1524361.0,1523542.0,1524360.0,1523628.0,HHH023_opa_8,0
8,1,1,1572618.0,1572665.0,1573361.0,1573379.0,1572593.0,1573378.0,1572679.0,HHH023_opa_9,0
9,1,-1,1896107.0,1896157.0,1895357.0,1895375.0,1895358.0,1896181.0,1896093.0,HHH023_opa_10,0
10,1,-1,2107435.0,2107507.0,2106697.0,2106715.0,2106698.0,2107532.0,2107421.0,HHH023_opa_11,1
