,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145062.1,-1,70360.0,70415.0,69595.0,69613.0,69596.0,70440.0,70346.0,WHO_T_2024_opa_1,0
1,NZ_CP145062.1,-1,75710.0,75750.0,74969.0,74987.0,74970.0,75775.0,75696.0,WHO_T_2024_opa_2,0
2,NZ_CP145062.1,1,985080.0,985125.0,985845.0,985863.0,985055.0,985862.0,985139.0,WHO_T_2024_opa_3,1
3,NZ_CP145062.1,-1,1063003.0,1063023.0,1062244.0,1062262.0,1062245.0,1063048.0,1062989.0,WHO_T_2024_opa_4,0
4,NZ_CP145062.1,1,1103720.0,1103748.0,1104468.0,1104486.0,1103695.0,1104485.0,1103762.0,WHO_T_2024_opa_5,0
5,NZ_CP145062.1,1,1163574.0,1163594.0,1164335.0,1164353.0,1163549.0,1164352.0,1163608.0,WHO_T_2024_opa_6,0
6,NZ_CP145062.1,1,1306287.0,1306307.0,1307048.0,1307066.0,1306262.0,1307065.0,1306321.0,WHO_T_2024_opa_7,0
7,NZ_CP145062.1,-1,1504185.0,1504230.0,1503435.0,1503453.0,1503436.0,1504254.0,1504171.0,WHO_T_2024_opa_8,0
8,NZ_CP145062.1,1,1557537.0,1557557.0,1558307.0,1558325.0,1557512.0,1558324.0,1557571.0,WHO_T_2024_opa_9,0
9,NZ_CP145062.1,1,1607043.0,1607078.0,1607828.0,1607846.0,1607018.0,1607845.0,1607092.0,WHO_T_2024_opa_10,0
10,NZ_CP145062.1,-1,1928945.0,1928995.0,1928207.0,1928225.0,1928208.0,1929019.0,1928931.0,WHO_T_2024_opa_11,0
11,NZ_CP145062.1,-1,2132754.0,2132774.0,2131986.0,2132004.0,2131987.0,2132799.0,2132740.0,WHO_T_2024_opa_12,0
