,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP131620.1,-1,69880.0,69905.0,69130.0,69148.0,69131.0,69930.0,69866.0,2020N08-318_opa_1,0
1,NZ_CP131620.1,-1,75282.0,75322.0,74547.0,74565.0,74548.0,75347.0,75268.0,2020N08-318_opa_2,0
2,NZ_CP131620.1,-1,568082.0,568117.0,567350.0,567368.0,567351.0,568142.0,568068.0,2020N08-318_opa_3,0
3,NZ_CP131620.1,1,608771.0,608851.0,609586.0,609604.0,608746.0,609603.0,608865.0,2020N08-318_opa_4,0
4,NZ_CP131620.1,-1,686725.0,686785.0,685999.0,686017.0,686000.0,686810.0,686711.0,2020N08-318_opa_5,1
5,NZ_CP131620.1,1,1233184.0,1233239.0,1233956.0,1233974.0,1233159.0,1233973.0,1233253.0,2020N08-318_opa_6,0
6,NZ_CP131620.1,-1,1431086.0,1431161.0,1430363.0,1430381.0,1430364.0,1431186.0,1431072.0,2020N08-318_opa_7,1
7,NZ_CP131620.1,1,1484128.0,1484168.0,1484876.0,1484894.0,1484103.0,1484893.0,1484182.0,2020N08-318_opa_8,0
8,NZ_CP131620.1,1,1533582.0,1533602.0,1534319.0,1534337.0,1533557.0,1534336.0,1533616.0,2020N08-318_opa_9,0
9,NZ_CP131620.1,1,1999479.0,1999529.0,2000264.0,2000282.0,1999455.0,2000281.0,1999543.0,2020N08-318_opa_10,0
