,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP138339.1,-1,71193.0,71233.0,70440.0,70458.0,70441.0,71258.0,71179.0,TH2288_opa_1,0
1,NZ_CP138339.1,-1,76536.0,76581.0,75783.0,75801.0,75784.0,76606.0,76522.0,TH2288_opa_2,1
2,NZ_CP138339.1,1,988773.0,988783.0,989518.0,989536.0,988748.0,989535.0,988797.0,TH2288_opa_3,0
3,NZ_CP138339.1,-1,1066332.0,1066382.0,1065603.0,1065621.0,1065604.0,1066407.0,1066318.0,TH2288_opa_4,0
4,NZ_CP138339.1,1,1107031.0,1107056.0,1107767.0,1107785.0,1107006.0,1107784.0,1107070.0,TH2288_opa_5,0
5,NZ_CP138339.1,1,1279835.0,1279885.0,1280566.0,1280584.0,1279810.0,1280583.0,1279899.0,TH2288_opa_6,0
6,NZ_CP138339.1,-1,1479553.0,1479623.0,1478800.0,1478818.0,1478801.0,1479647.0,1479539.0,TH2288_opa_7,1
7,NZ_CP138339.1,1,1533160.0,1533195.0,1533927.0,1533945.0,1533135.0,1533944.0,1533209.0,TH2288_opa_8,0
8,NZ_CP138339.1,1,1582675.0,1582690.0,1583371.0,1583389.0,1582652.0,1583388.0,1582704.0,TH2288_opa_9,0
9,NZ_CP138339.1,-1,1904993.0,1905063.0,1904240.0,1904258.0,1904241.0,1905087.0,1904979.0,TH2288_opa_10,1
10,NZ_CP138339.1,-1,2112798.0,2112843.0,2112099.0,2112117.0,2112100.0,2112868.0,2112784.0,TH2288_opa_11,1
