,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP048905.1,-1,70601.0,70661.0,69863.0,69881.0,69864.0,70686.0,70587.0,SRRSH205_opa_1,1
1,NZ_CP048905.1,-1,76098.0,76168.0,75363.0,75381.0,75364.0,76193.0,76084.0,SRRSH205_opa_2,0
2,NZ_CP048905.1,1,984533.0,984568.0,985273.0,985291.0,984508.0,985290.0,984582.0,SRRSH205_opa_3,0
3,NZ_CP048905.1,-1,1059931.0,1059981.0,1059211.0,1059229.0,1059212.0,1060006.0,1059917.0,SRRSH205_opa_4,0
4,NZ_CP048905.1,1,1100375.0,1100400.0,1101105.0,1101123.0,1100350.0,1101122.0,1100414.0,SRRSH205_opa_5,0
5,NZ_CP048905.1,1,1270067.0,1270092.0,1270803.0,1270821.0,1270042.0,1270820.0,1270106.0,SRRSH205_opa_6,0
6,NZ_CP048905.1,-1,1469764.0,1469799.0,1469026.0,1469044.0,1469027.0,1469823.0,1469750.0,SRRSH205_opa_7,0
7,NZ_CP048905.1,1,1523485.0,1523535.0,1524240.0,1524258.0,1523460.0,1524257.0,1523549.0,SRRSH205_opa_8,0
8,NZ_CP048905.1,1,1572949.0,1572974.0,1573697.0,1573715.0,1572926.0,1573714.0,1572988.0,SRRSH205_opa_9,0
9,NZ_CP048905.1,-1,1891945.0,1891995.0,1891186.0,1891204.0,1891187.0,1892019.0,1891931.0,SRRSH205_opa_10,0
10,NZ_CP048905.1,-1,2099431.0,2099456.0,2098708.0,2098726.0,2098709.0,2099481.0,2099417.0,SRRSH205_opa_11,0
