,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP045707.1,-1,69284.0,69324.0,68531.0,68549.0,68532.0,69349.0,69270.0,NG250_opa_1,0
1,NZ_CP045707.1,-1,74781.0,74896.0,74028.0,74046.0,74029.0,74921.0,74767.0,NG250_opa_2,0
2,NZ_CP045707.1,-1,498231.0,498296.0,497508.0,497526.0,497509.0,498321.0,498217.0,NG250_opa_3,0
3,NZ_CP045707.1,1,538995.0,539080.0,539803.0,539821.0,538970.0,539820.0,539094.0,NG250_opa_4,0
4,NZ_CP045707.1,-1,616893.0,616918.0,616137.0,616155.0,616138.0,616943.0,616879.0,NG250_opa_5,0
5,NZ_CP045707.1,1,1215690.0,1215760.0,1216498.0,1216516.0,1215665.0,1216515.0,1215774.0,NG250_opa_6,0
6,NZ_CP045707.1,-1,1415477.0,1415517.0,1414733.0,1414751.0,1414734.0,1415541.0,1415463.0,NG250_opa_7,1
7,NZ_CP045707.1,1,1468821.0,1468886.0,1469621.0,1469639.0,1468796.0,1469638.0,1468900.0,NG250_opa_8,0
8,NZ_CP045707.1,1,1518334.0,1518359.0,1519085.0,1519103.0,1518309.0,1519102.0,1518373.0,NG250_opa_9,0
9,NZ_CP045707.1,-1,1841958.0,1842008.0,1841205.0,1841223.0,1841206.0,1842032.0,1841944.0,NG250_opa_10,0
10,NZ_CP045707.1,-1,2051218.0,2051283.0,2050465.0,2050483.0,2050466.0,2051308.0,2051204.0,NG250_opa_11,0
