,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP131641.1,-1,70804.0,70899.0,70057.0,70075.0,70058.0,70924.0,70790.0,2010C02-038_opa_1,0
1,NZ_CP131641.1,-1,76182.0,76227.0,75450.0,75468.0,75451.0,76252.0,76168.0,2010C02-038_opa_2,1
2,NZ_CP131641.1,-1,571432.0,571467.0,570700.0,570718.0,570701.0,571492.0,571418.0,2010C02-038_opa_3,0
3,NZ_CP131641.1,1,606090.0,606168.0,606864.0,606882.0,606065.0,606881.0,606182.0,2010C02-038_opa_4,1
4,NZ_CP131641.1,-1,684326.0,684369.0,683609.0,683627.0,683610.0,684394.0,684312.0,2010C02-038_opa_5,0
5,NZ_CP131641.1,1,1172836.0,1172916.0,1173654.0,1173672.0,1172811.0,1173671.0,1172930.0,2010C02-038_opa_6,0
6,NZ_CP131641.1,-1,1369166.0,1369201.0,1368410.0,1368428.0,1368411.0,1369225.0,1369152.0,2010C02-038_opa_7,0
7,NZ_CP131641.1,1,1422567.0,1422627.0,1423359.0,1423377.0,1422542.0,1423376.0,1422641.0,2010C02-038_opa_8,1
8,NZ_CP131641.1,1,1471818.0,1471853.0,1472552.0,1472570.0,1471793.0,1472569.0,1471867.0,2010C02-038_opa_9,0
9,NZ_CP131641.1,1,1730238.0,1730273.0,1731014.0,1731032.0,1730213.0,1731031.0,1730287.0,2010C02-038_opa_10,0
10,NZ_CP131641.1,1,1939528.0,1939618.0,1940353.0,1940371.0,1939504.0,1940370.0,1939632.0,2010C02-038_opa_11,0
