,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145024.1,-1,70482.0,70502.0,69756.0,69774.0,69757.0,70527.0,70468.0,WHO_U_2024_opa_1,0
1,NZ_CP145024.1,-1,75820.0,75885.0,75097.0,75115.0,75098.0,75910.0,75806.0,WHO_U_2024_opa_2,0
2,NZ_CP145024.1,1,1057436.0,1057491.0,1058217.0,1058235.0,1057411.0,1058234.0,1057505.0,WHO_U_2024_opa_3,0
3,NZ_CP145024.1,-1,1135331.0,1135401.0,1134620.0,1134638.0,1134621.0,1135426.0,1135317.0,WHO_U_2024_opa_4,0
4,NZ_CP145024.1,1,1176054.0,1176154.0,1176865.0,1176883.0,1176029.0,1176882.0,1176168.0,WHO_U_2024_opa_5,0
5,NZ_CP145024.1,1,1236107.0,1236142.0,1236859.0,1236877.0,1236082.0,1236876.0,1236156.0,WHO_U_2024_opa_6,0
6,NZ_CP145024.1,-1,1435303.0,1435348.0,1434604.0,1434622.0,1434605.0,1435372.0,1435289.0,WHO_U_2024_opa_7,0
7,NZ_CP145024.1,1,1489986.0,1490021.0,1490726.0,1490744.0,1489961.0,1490743.0,1490035.0,WHO_U_2024_opa_8,0
8,NZ_CP145024.1,1,1539435.0,1539445.0,1540126.0,1540144.0,1539412.0,1540143.0,1539459.0,WHO_U_2024_opa_9,0
9,NZ_CP145024.1,1,1798196.0,1798216.0,1798924.0,1798942.0,1798171.0,1798941.0,1798230.0,WHO_U_2024_opa_10,0
10,NZ_CP145024.1,1,2010059.0,2010129.0,2010840.0,2010858.0,2010035.0,2010857.0,2010143.0,WHO_U_2024_opa_11,1
