,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145088.1,-1,75816.0,75901.0,75108.0,75126.0,75109.0,75926.0,75802.0,WHO_B_2024_opa_1,0
1,NZ_CP145088.1,1,987085.0,987135.0,987837.0,987855.0,987060.0,987854.0,987149.0,WHO_B_2024_opa_2,0
2,NZ_CP145088.1,-1,1065031.0,1065106.0,1064296.0,1064314.0,1064297.0,1065131.0,1065017.0,WHO_B_2024_opa_3,1
3,NZ_CP145088.1,1,1099768.0,1099838.0,1100543.0,1100561.0,1099743.0,1100560.0,1099852.0,WHO_B_2024_opa_4,0
4,NZ_CP145088.1,1,1272524.0,1272594.0,1273314.0,1273332.0,1272499.0,1273331.0,1272608.0,WHO_B_2024_opa_5,0
5,NZ_CP145088.1,-1,1472884.0,1472959.0,1472161.0,1472179.0,1472162.0,1472983.0,1472870.0,WHO_B_2024_opa_6,0
6,NZ_CP145088.1,1,1526568.0,1526613.0,1527324.0,1527342.0,1526543.0,1527341.0,1526627.0,WHO_B_2024_opa_7,1
7,NZ_CP145088.1,1,1576056.0,1576091.0,1576772.0,1576790.0,1576031.0,1576789.0,1576105.0,WHO_B_2024_opa_8,0
8,NZ_CP145088.1,-1,1899197.0,1899242.0,1898447.0,1898465.0,1898448.0,1899266.0,1899183.0,WHO_B_2024_opa_9,0
9,NZ_CP145088.1,-1,2108257.0,2108282.0,2107519.0,2107537.0,2107520.0,2108307.0,2108243.0,WHO_B_2024_opa_10,0
