,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145050.1,-1,70271.0,70326.0,69542.0,69560.0,69543.0,70351.0,70257.0,WHO_H_2024_opa_1,0
1,NZ_CP145050.1,-1,76448.0,76484.0,75767.0,75785.0,75768.0,76510.0,76434.0,WHO_H_2024_opa_2,0
2,NZ_CP145050.1,-1,636599.0,636714.0,635840.0,635858.0,635841.0,636739.0,636585.0,WHO_H_2024_opa_3,0
3,NZ_CP145050.1,1,677366.0,677476.0,678196.0,678214.0,677341.0,678213.0,677490.0,WHO_H_2024_opa_4,0
4,NZ_CP145050.1,-1,755040.0,755055.0,754320.0,754338.0,754321.0,755080.0,755026.0,WHO_H_2024_opa_5,1
5,NZ_CP145050.1,-1,1336869.0,1336894.0,1336149.0,1336167.0,1336150.0,1336917.0,1336855.0,WHO_H_2024_opa_6,0
6,NZ_CP145050.1,-1,1386310.0,1386345.0,1385578.0,1385596.0,1385579.0,1386369.0,1386296.0,WHO_H_2024_opa_7,0
7,NZ_CP145050.1,1,1441761.0,1441826.0,1442531.0,1442549.0,1441737.0,1442548.0,1441840.0,WHO_H_2024_opa_8,0
8,NZ_CP145050.1,-1,1640755.0,1640795.0,1639996.0,1640014.0,1639997.0,1640820.0,1640741.0,WHO_H_2024_opa_9,0
9,NZ_CP145050.1,1,1797140.0,1797185.0,1797926.0,1797944.0,1797115.0,1797943.0,1797199.0,WHO_H_2024_opa_10,1
10,NZ_CP145050.1,1,2009146.0,2009231.0,2009951.0,2009969.0,2009122.0,2009968.0,2009245.0,WHO_H_2024_opa_11,1
