,id_A,id_B,strain_A,strain_B,opa_gene_num_A,opa_gene_num_B,distance
0,10231_opa_1,10231_opa_2,10231,10231,1,2,0.20343839541547282
1,10231_opa_1,10231_opa_3,10231,10231,1,3,0.02005730659025784
2,10231_opa_1,10231_opa_4,10231,10231,1,4,0.20343839541547282
3,10231_opa_1,10231_opa_5,10231,10231,1,5,0.1919770773638968
4,10231_opa_1,10231_opa_6,10231,10231,1,6,0.16332378223495703
5,10231_opa_1,10231_opa_7,10231,10231,1,7,0.1776504297994269
6,10231_opa_1,10231_opa_8,10231,10231,1,8,0.16045845272206305
7,10231_opa_1,10231_opa_9,10231,10231,1,9,0.20343839541547282
8,10231_opa_2,10231_opa_3,10231,10231,2,3,0.22063037249283668
9,10231_opa_2,10231_opa_4,10231,10231,2,4,0.24068767908309452
10,10231_opa_2,10231_opa_5,10231,10231,2,5,0.21489971346704873
11,10231_opa_2,10231_opa_6,10231,10231,2,6,0.2063037249283668
12,10231_opa_2,10231_opa_7,10231,10231,2,7,0.20916905444126077
13,10231_opa_2,10231_opa_8,10231,10231,2,8,0.20057306590257884
14,10231_opa_2,10231_opa_9,10231,10231,2,9,0.0
15,10231_opa_3,10231_opa_4,10231,10231,3,4,0.21489971346704873
16,10231_opa_3,10231_opa_5,10231,10231,3,5,0.20916905444126077
17,10231_opa_3,10231_opa_6,10231,10231,3,6,0.17478510028653294
18,10231_opa_3,10231_opa_7,10231,10231,3,7,0.19484240687679089
19,10231_opa_3,10231_opa_8,10231,10231,3,8,0.16905444126074498
20,10231_opa_3,10231_opa_9,10231,10231,3,9,0.22063037249283668
21,10231_opa_4,10231_opa_5,10231,10231,4,5,0.16332378223495703
22,10231_opa_4,10231_opa_6,10231,10231,4,6,0.22636103151862463
23,10231_opa_4,10231_opa_7,10231,10231,4,7,0.03151862464183386
24,10231_opa_4,10231_opa_8,10231,10231,4,8,0.23495702005730656
25,10231_opa_4,10231_opa_9,10231,10231,4,9,0.24068767908309452
26,10231_opa_5,10231_opa_6,10231,10231,5,6,0.21203438395415475
27,10231_opa_5,10231_opa_7,10231,10231,5,7,0.13467048710601714
28,10231_opa_5,10231_opa_8,10231,10231,5,8,0.2063037249283668
29,10231_opa_5,10231_opa_9,10231,10231,5,9,0.21489971346704873
30,10231_opa_6,10231_opa_7,10231,10231,6,7,0.22636103151862463
31,10231_opa_6,10231_opa_8,10231,10231,6,8,0.008595988538681931
32,10231_opa_6,10231_opa_9,10231,10231,6,9,0.2063037249283668
33,10231_opa_7,10231_opa_8,10231,10231,7,8,0.22063037249283668
34,10231_opa_7,10231_opa_9,10231,10231,7,9,0.20916905444126077
35,10231_opa_8,10231_opa_9,10231,10231,8,9,0.20057306590257884
36,10239_opa_2,10239_opa_3,10239,10239,2,3,0.16905444126074498
37,10239_opa_2,10239_opa_4,10239,10239,2,4,0.23782234957020054
38,10239_opa_2,10239_opa_5,10239,10239,2,5,0.18338108882521487
39,10239_opa_2,10239_opa_6,10239,10239,2,6,0.15759312320916907
40,10239_opa_2,10239_opa_7,10239,10239,2,7,0.22349570200573066
41,10239_opa_2,10239_opa_8,10239,10239,2,8,0.18911174785100282
42,10239_opa_2,10239_opa_9,10239,10239,2,9,0.1031518624641834
43,10239_opa_2,10239_opa_10,10239,10239,2,10,0.2177650429799427
44,10239_opa_2,10239_opa_11,10239,10239,2,11,0.2177650429799427
45,10239_opa_3,10239_opa_4,10239,10239,3,4,0.2177650429799427
46,10239_opa_3,10239_opa_5,10239,10239,3,5,0.1289398280802292
47,10239_opa_3,10239_opa_6,10239,10239,3,6,0.14899713467048714
