,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP019467.1,-1,70296.0,70336.0,69537.0,69555.0,69538.0,70361.0,70282.0,RIVM0640_opa_1,0
1,NZ_CP019467.1,-1,76458.0,76494.0,75777.0,75795.0,75778.0,76520.0,76444.0,RIVM0640_opa_2,0
2,NZ_CP019467.1,-1,278035.0,278090.0,277321.0,277339.0,277322.0,278113.0,278021.0,RIVM0640_opa_3,0
3,NZ_CP019467.1,1,318744.0,318844.0,319564.0,319582.0,318719.0,319581.0,318858.0,RIVM0640_opa_4,0
4,NZ_CP019467.1,-1,396423.0,396438.0,395703.0,395721.0,395704.0,396463.0,396409.0,RIVM0640_opa_5,1
5,NZ_CP019467.1,1,1277248.0,1277298.0,1278039.0,1278057.0,1277223.0,1278056.0,1277312.0,RIVM0640_opa_6,0
6,NZ_CP019467.1,-1,1476229.0,1476269.0,1475506.0,1475524.0,1475507.0,1476293.0,1476215.0,RIVM0640_opa_7,1
7,NZ_CP019467.1,1,1531686.0,1531731.0,1532454.0,1532472.0,1531662.0,1532471.0,1531745.0,RIVM0640_opa_8,0
8,NZ_CP019467.1,1,1581156.0,1581206.0,1581902.0,1581920.0,1581133.0,1581919.0,1581220.0,RIVM0640_opa_9,1
9,NZ_CP019467.1,1,2006347.0,2006382.0,2007105.0,2007123.0,2006323.0,2007122.0,2006396.0,RIVM0640_opa_10,0
